Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784165068646263.996	,1784165068646264.016	
0,N/A,TASK_TIMEOUT_SET,49,4,103.022,1784165068652569.622	,1784165068652672.644	
0,N/A,KERNEL_AICPU,43,0,3064.121,1784165071617460.681	,1784165071620524.802	
0,N/A,EVENT_RECORD,46,0,0.000,1784165071620796.467	,1784165071620796.467	
0,N/A,EVENT_WAIT,43,1,0.020,1784165071620800.088	,1784165071620800.108	
0,N/A,EVENT_WAIT,42,0,0.020,1784165071620803.868	,1784165071620803.888	
0,N/A,KERNEL_AICPU,42,1,342.426,1784165071620810.428	,1784165071621152.855	
0,N/A,KERNEL_AICPU,43,2,477.249,1784165071620823.168	,1784165071621300.417	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,358.387,1784165071620931.410	,1784165071621289.797	
0,N/A,EVENT_WAIT,42,2,15.120,1784165071621276.837	,1784165071621291.957	
0,N/A,EVENT_RECORD,46,2,0.020,1784165071621291.517	,1784165071621291.537	
0,N/A,KERNEL_AICPU,42,3,151.503,1784165071621292.057	,1784165071621443.560	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,277.025,1784165071621297.517	,1784165071621574.543	
0,N/A,EVENT_WAIT,43,3,0.020,1784165071621300.437	,1784165071621300.457	
0,N/A,KERNEL_AICPU,43,4,282.625,1784165071621300.477	,1784165071621583.103	
0,N/A,EVENT_WAIT,42,4,120.122,1784165071621456.361	,1784165071621576.483	
0,N/A,EVENT_RECORD,46,4,0.000,1784165071621576.043	,1784165071621576.043	
0,N/A,KERNEL_AICPU,42,5,97.761,1784165071621576.563	,1784165071621674.325	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,225.824,1784165071621577.223	,1784165071621803.048	
0,N/A,EVENT_WAIT,43,5,0.000,1784165071621583.143	,1784165071621583.143	
0,N/A,KERNEL_AICPU,43,6,228.324,1784165071621583.183	,1784165071621811.508	
0,N/A,EVENT_WAIT,42,6,130.942,1784165071621674.345	,1784165071621805.288	
0,N/A,EVENT_RECORD,46,6,0.020,1784165071621804.648	,1784165071621804.668	
0,N/A,KERNEL_AICPU,42,7,83.841,1784165071621805.388	,1784165071621889.229	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,211.944,1784165071621805.848	,1784165071622017.792	
0,N/A,EVENT_WAIT,43,7,0.000,1784165071621811.548	,1784165071621811.548	
0,N/A,KERNEL_AICPU,43,8,209.444,1784165071621811.588	,1784165071622021.032	
0,N/A,EVENT_WAIT,42,8,130.522,1784165071621889.269	,1784165071622019.792	
0,N/A,EVENT_RECORD,46,8,0.020,1784165071622019.212	,1784165071622019.232	
0,N/A,KERNEL_AICPU,42,9,95.261,1784165071622019.892	,1784165071622115.154	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,224.984,1784165071622020.432	,1784165071622245.416	
0,N/A,EVENT_WAIT,43,9,0.020,1784165071622021.052	,1784165071622021.072	
0,N/A,KERNEL_AICPU,43,10,235.024,1784165071622021.092	,1784165071622256.117	
0,N/A,EVENT_WAIT,42,10,132.422,1784165071622115.174	,1784165071622247.596	
0,N/A,EVENT_RECORD,46,10,0.020,1784165071622247.116	,1784165071622247.136	
0,N/A,KERNEL_AICPU,42,11,88.001,1784165071622247.676	,1784165071622335.678	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,217.864,1784165071622248.296	,1784165071622466.161	
0,N/A,EVENT_WAIT,43,11,0.020,1784165071622256.137	,1784165071622256.157	
0,N/A,KERNEL_AICPU,43,12,218.484,1784165071622256.177	,1784165071622474.661	
0,N/A,EVENT_WAIT,42,12,132.602,1784165071622335.698	,1784165071622468.301	
0,N/A,EVENT_RECORD,46,12,0.020,1784165071622467.821	,1784165071622467.841	
0,N/A,KERNEL_AICPU,42,13,77.981,1784165071622468.401	,1784165071622546.382	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,208.144,1784165071622469.021	,1784165071622677.165	
0,N/A,EVENT_WAIT,43,13,0.020,1784165071622474.681	,1784165071622474.701	
0,N/A,KERNEL_AICPU,43,14,206.244,1784165071622474.721	,1784165071622680.965	
0,N/A,EVENT_WAIT,42,14,133.002,1784165071622546.402	,1784165071622679.405	
0,N/A,EVENT_RECORD,46,14,0.020,1784165071622678.945	,1784165071622678.965	
0,N/A,KERNEL_AICPU,42,15,88.181,1784165071622679.525	,1784165071622767.707	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,15,218.404,1784165071622680.145	,1784165071622898.549	
0,N/A,EVENT_WAIT,43,15,0.000,1784165071622681.005	,1784165071622681.005	
0,N/A,KERNEL_AICPU,43,16,223.344,1784165071622681.045	,1784165071622904.390	
0,N/A,EVENT_WAIT,42,16,133.022,1784165071622767.727	,1784165071622900.749	
0,N/A,EVENT_RECORD,46,16,0.020,1784165071622900.269	,1784165071622900.289	
0,N/A,KERNEL_AICPU,42,17,72.021,1784165071622900.869	,1784165071622972.891	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,17,202.484,1784165071622901.489	,1784165071623103.974	
0,N/A,EVENT_WAIT,43,17,0.020,1784165071622904.410	,1784165071622904.430	
0,N/A,KERNEL_AICPU,43,18,208.144,1784165071622904.450	,1784165071623112.594	
0,N/A,EVENT_WAIT,42,18,133.342,1784165071622972.911	,1784165071623106.254	
0,N/A,EVENT_RECORD,46,18,0.020,1784165071623105.774	,1784165071623105.794	
0,N/A,KERNEL_AICPU,42,19,75.661,1784165071623106.354	,1784165071623182.015	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,19,205.704,1784165071623106.954	,1784165071623312.658	
0,N/A,EVENT_WAIT,43,19,0.020,1784165071623112.614	,1784165071623112.634	
0,N/A,KERNEL_AICPU,43,20,203.304,1784165071623112.654	,1784165071623315.958	
0,N/A,EVENT_WAIT,42,20,132.882,1784165071623182.035	,1784165071623314.918	
0,N/A,EVENT_RECORD,46,20,0.020,1784165071623314.458	,1784165071623314.478	
0,N/A,KERNEL_AICPU,42,21,73.641,1784165071623315.018	,1784165071623388.659	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,21,204.024,1784165071623315.658	,1784165071623519.682	
0,N/A,EVENT_WAIT,43,21,0.020,1784165071623315.978	,1784165071623315.998	
0,N/A,KERNEL_AICPU,43,22,209.284,1784165071623316.018	,1784165071623525.302	
0,N/A,EVENT_WAIT,42,22,133.042,1784165071623388.699	,1784165071623521.742	
0,N/A,EVENT_RECORD,46,22,0.000,1784165071623521.282	,1784165071623521.282	
0,N/A,KERNEL_AICPU,42,23,66.521,1784165071623521.822	,1784165071623588.343	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,23,194.843,1784165071623522.482	,1784165071623717.326	
0,N/A,EVENT_WAIT,43,23,0.000,1784165071623525.342	,1784165071623525.342	
0,N/A,KERNEL_AICPU,43,24,200.504,1784165071623525.382	,1784165071623725.886	
0,N/A,EVENT_WAIT,42,24,131.202,1784165071623588.363	,1784165071623719.566	
0,N/A,EVENT_RECORD,46,24,0.020,1784165071623719.026	,1784165071623719.046	
0,N/A,KERNEL_AICPU,42,25,70.641,1784165071623719.666	,1784165071623790.307	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,25,202.104,1784165071623720.226	,1784165071623922.330	
0,N/A,EVENT_WAIT,43,25,0.020,1784165071623725.906	,1784165071623725.926	
0,N/A,KERNEL_AICPU,43,26,199.683,1784165071623725.946	,1784165071623925.630	
0,N/A,EVENT_WAIT,42,26,134.142,1784165071623790.327	,1784165071623924.470	
0,N/A,EVENT_RECORD,46,26,0.020,1784165071623923.990	,1784165071623924.010	
0,N/A,KERNEL_AICPU,42,27,86.801,1784165071623924.550	,1784165071624011.352	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,27,217.544,1784165071623925.170	,1784165071624142.714	
0,N/A,EVENT_WAIT,43,27,0.000,1784165071623925.670	,1784165071623925.670	
0,N/A,KERNEL_AICPU,43,28,225.224,1784165071623925.710	,1784165071624150.934	
0,N/A,EVENT_WAIT,42,28,133.322,1784165071624011.372	,1784165071624144.694	
0,N/A,EVENT_RECORD,46,28,0.020,1784165071624144.214	,1784165071624144.234	
0,N/A,KERNEL_AICPU,42,29,66.481,1784165071624144.794	,1784165071624211.276	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,29,196.363,1784165071624145.414	,1784165071624341.778	
0,N/A,EVENT_WAIT,43,29,0.020,1784165071624150.954	,1784165071624150.974	
0,N/A,KERNEL_AICPU,43,30,213.384,1784165071624150.994	,1784165071624364.379	
0,N/A,EVENT_WAIT,42,30,132.962,1784165071624211.296	,1784165071624344.258	
0,N/A,EVENT_RECORD,46,30,0.020,1784165071624343.638	,1784165071624343.658	
0,N/A,KERNEL_AICPU,42,31,85.501,1784165071624344.358	,1784165071624429.860	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,31,201.504,1784165071624344.838	,1784165071624546.342	
0,N/A,EVENT_WAIT,43,31,0.020,1784165071624364.399	,1784165071624364.419	
0,N/A,KERNEL_AICPU,43,32,185.963,1784165071624364.439	,1784165071624550.402	
0,N/A,EVENT_WAIT,42,32,118.682,1784165071624429.880	,1784165071624548.562	
0,N/A,EVENT_RECORD,46,32,0.020,1784165071624548.102	,1784165071624548.122	
0,N/A,KERNEL_AICPU,42,33,87.461,1784165071624548.662	,1784165071624636.124	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,33,218.964,1784165071624549.302	,1784165071624768.267	
0,N/A,EVENT_WAIT,43,33,0.020,1784165071624550.422	,1784165071624550.442	
0,N/A,KERNEL_AICPU,43,34,223.624,1784165071624550.462	,1784165071624774.087	
0,N/A,EVENT_WAIT,42,34,134.422,1784165071624636.144	,1784165071624770.567	
0,N/A,EVENT_RECORD,46,34,0.020,1784165071624770.127	,1784165071624770.147	
0,N/A,KERNEL_AICPU,42,35,85.101,1784165071624770.667	,1784165071624855.769	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,35,216.264,1784165071624771.307	,1784165071624987.571	
0,N/A,EVENT_WAIT,43,35,0.020,1784165071624774.107	,1784165071624774.127	
0,N/A,KERNEL_AICPU,43,36,220.584,1784165071624774.147	,1784165071624994.731	
0,N/A,EVENT_WAIT,42,36,133.742,1784165071624855.789	,1784165071624989.531	
0,N/A,EVENT_RECORD,46,36,0.020,1784165071624989.071	,1784165071624989.091	
0,N/A,KERNEL_AICPU,42,37,73.781,1784165071624989.631	,1784165071625063.413	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,37,204.804,1784165071624990.271	,1784165071625195.075	
0,N/A,EVENT_WAIT,43,37,0.020,1784165071624994.751	,1784165071624994.771	
0,N/A,KERNEL_AICPU,43,38,204.504,1784165071624994.791	,1784165071625199.295	
0,N/A,EVENT_WAIT,42,38,133.982,1784165071625063.433	,1784165071625197.415	
0,N/A,EVENT_RECORD,46,38,0.020,1784165071625196.955	,1784165071625196.975	
0,N/A,KERNEL_AICPU,42,39,88.981,1784165071625197.515	,1784165071625286.497	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,39,217.924,1784165071625198.155	,1784165071625416.080	
0,N/A,EVENT_WAIT,43,39,0.020,1784165071625199.315	,1784165071625199.335	
0,N/A,KERNEL_AICPU,43,40,222.584,1784165071625199.355	,1784165071625421.940	
0,N/A,EVENT_WAIT,42,40,131.682,1784165071625286.517	,1784165071625418.200	
0,N/A,EVENT_RECORD,46,40,0.020,1784165071625417.740	,1784165071625417.760	
0,N/A,KERNEL_AICPU,42,41,82.701,1784165071625418.300	,1784165071625501.001	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,41,212.944,1784165071625418.940	,1784165071625631.884	
0,N/A,EVENT_WAIT,43,41,0.020,1784165071625421.960	,1784165071625421.980	
0,N/A,KERNEL_AICPU,43,42,217.284,1784165071625422.000	,1784165071625639.284	
0,N/A,EVENT_WAIT,42,42,133.102,1784165071625501.021	,1784165071625634.124	
0,N/A,EVENT_RECORD,46,42,0.020,1784165071625633.644	,1784165071625633.664	
0,N/A,KERNEL_AICPU,42,43,65.441,1784165071625634.224	,1784165071625699.665	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,43,196.483,1784165071625634.844	,1784165071625831.328	
0,N/A,EVENT_WAIT,43,43,0.020,1784165071625639.304	,1784165071625639.324	
0,N/A,KERNEL_AICPU,43,44,195.563,1784165071625639.344	,1784165071625834.908	
