Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,44.29,100,0.443,0.35,1.42,0.012
host,acl,aclmdlRICaptureThreadExchangeMode,3.02,2,1.51,1.47,1.55,0.002
host,acl,aclrtCreateEventExWithFlag,8.23,1,8.23,8.23,8.23,0
host,acl,aclrtCreateStreamWithConfig,1871.94,2,935.97,738.51,1133.43,38990.452
host,acl,aclrtCtxSetSysParamOpt,6.48,2,3.24,0.65,5.83,6.708
host,acl,aclrtDestroyStreamForce,3295,1,3295,3295,3295,0
host,acl,aclrtGetCurrentContext,1.14,1,1.14,1.14,1.14,0
host,acl,aclrtGetStreamResLimit,91.9,204,0.45,0.29,2.14,0.032
host,acl,aclrtMemcpy,273.56,2,136.78,126.44,147.12,106.916
host,acl,aclrtRecordEvent,1430.8,100,14.308,6.21,203.22,902.994
host,acl,aclrtResetDevice,2.79,1,2.79,2.79,2.79,0
host,acl,aclrtSetDevice,43.22,1,43.22,43.22,43.22,0
host,acl,aclrtSetOpExecuteTimeOutV2,1184.77,1,1184.77,1184.77,1184.77,0
host,acl,aclrtSetStreamFailureMode,5.61,2,2.805,2.39,3.22,0.172
host,acl,aclrtStreamWaitEvent,831.26,200,4.156,0.77,11.46,1.968
host,acl,aclrtSynchronizeDeviceWithTimeout,92.02,4,23.005,7.99,59.95,462.272
host,acl,aclrtSynchronizeStream,6.17,2,3.085,2.97,3.2,0.013
host,node,launch,1520.16,300,5.067,2.27,97.85,31.675
