Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784164990084526.680	,1784164990084526.680	
0,N/A,TASK_TIMEOUT_SET,49,4,100.042,1784164990090993.209	,1784164990091093.251	
0,N/A,KERNEL_AICPU,43,0,3134.242,1784164991791170.879	,1784164991794305.122	
0,N/A,EVENT_RECORD,46,0,0.020,1784164991794526.526	,1784164991794526.546	
0,N/A,EVENT_WAIT,42,0,0.000,1784164991794533.586	,1784164991794533.586	
0,N/A,EVENT_WAIT,43,1,0.000,1784164991794533.686	,1784164991794533.686	
0,N/A,KERNEL_AICPU,42,1,323.146,1784164991794540.166	,1784164991794863.313	
0,N/A,KERNEL_AICPU,43,2,356.967,1784164991794551.086	,1784164991794908.054	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,246.744,1784164991794651.988	,1784164991794898.733	
0,N/A,EVENT_RECORD,46,2,0.020,1784164991794985.855	,1784164991794985.875	
0,N/A,EVENT_WAIT,43,3,0.020,1784164991794991.235	,1784164991794991.255	
0,N/A,EVENT_WAIT,42,2,0.000,1784164991794992.795	,1784164991794992.795	
0,N/A,KERNEL_AICPU,42,3,106.322,1784164991794999.295	,1784164991795105.618	
0,N/A,KERNEL_AICPU,43,4,133.002,1784164991795011.256	,1784164991795144.258	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,113.382,1784164991795024.136	,1784164991795137.518	
0,N/A,EVENT_RECORD,46,4,0.020,1784164991795164.939	,1784164991795164.959	
0,N/A,EVENT_WAIT,43,5,0.000,1784164991795169.779	,1784164991795169.779	
0,N/A,EVENT_WAIT,42,4,0.020,1784164991795171.899	,1784164991795171.919	
0,N/A,KERNEL_AICPU,42,5,62.401,1784164991795178.439	,1784164991795240.840	
0,N/A,KERNEL_AICPU,43,6,98.481,1784164991795185.219	,1784164991795283.701	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,85.881,1784164991795191.459	,1784164991795277.341	
0,N/A,EVENT_RECORD,46,6,0.020,1784164991795335.422	,1784164991795335.442	
0,N/A,EVENT_WAIT,43,7,0.020,1784164991795339.782	,1784164991795339.802	
0,N/A,EVENT_WAIT,42,6,0.000,1784164991795342.242	,1784164991795342.242	
0,N/A,KERNEL_AICPU,42,7,51.121,1784164991795348.782	,1784164991795399.903	
0,N/A,KERNEL_AICPU,43,8,82.661,1784164991795355.343	,1784164991795438.004	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,72.301,1784164991795361.823	,1784164991795434.124	
0,N/A,EVENT_RECORD,46,8,0.020,1784164991795488.085	,1784164991795488.105	
0,N/A,EVENT_WAIT,43,9,0.000,1784164991795492.725	,1784164991795492.725	
0,N/A,EVENT_WAIT,42,8,0.020,1784164991795494.785	,1784164991795494.805	
0,N/A,KERNEL_AICPU,42,9,54.701,1784164991795501.305	,1784164991795556.007	
0,N/A,KERNEL_AICPU,43,10,86.301,1784164991795510.066	,1784164991795596.367	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,75.681,1784164991795514.046	,1784164991795589.727	
0,N/A,EVENT_RECORD,46,10,0.000,1784164991795671.689	,1784164991795671.689	
0,N/A,EVENT_WAIT,43,11,0.020,1784164991795673.929	,1784164991795673.949	
0,N/A,EVENT_WAIT,42,10,0.020,1784164991795679.349	,1784164991795679.369	
0,N/A,KERNEL_AICPU,42,11,46.560,1784164991795686.209	,1784164991795732.770	
0,N/A,KERNEL_AICPU,43,12,87.041,1784164991795694.529	,1784164991795781.571	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,73.781,1784164991795700.749	,1784164991795774.531	
0,N/A,EVENT_RECORD,46,12,0.020,1784164991795826.272	,1784164991795826.292	
0,N/A,EVENT_WAIT,43,13,0.000,1784164991795830.792	,1784164991795830.792	
0,N/A,EVENT_WAIT,42,12,0.020,1784164991795833.152	,1784164991795833.172	
0,N/A,KERNEL_AICPU,42,13,39.420,1784164991795839.732	,1784164991795879.153	
0,N/A,KERNEL_AICPU,43,14,69.741,1784164991795848.672	,1784164991795918.414	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,62.661,1784164991795852.372	,1784164991795915.034	
0,N/A,EVENT_RECORD,46,14,0.020,1784164991795991.435	,1784164991795991.455	
0,N/A,EVENT_WAIT,43,15,0.020,1784164991795996.475	,1784164991795996.495	
0,N/A,EVENT_WAIT,42,14,0.000,1784164991795998.215	,1784164991795998.215	
0,N/A,KERNEL_AICPU,42,15,51.461,1784164991796004.696	,1784164991796056.157	
0,N/A,KERNEL_AICPU,43,16,84.541,1784164991796011.456	,1784164991796095.997	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,15,71.441,1784164991796017.476	,1784164991796088.917	
0,N/A,EVENT_RECORD,46,16,0.020,1784164991796140.738	,1784164991796140.758	
0,N/A,EVENT_WAIT,43,17,0.020,1784164991796145.298	,1784164991796145.318	
0,N/A,EVENT_WAIT,42,16,0.000,1784164991796147.358	,1784164991796147.358	
0,N/A,KERNEL_AICPU,42,17,48.200,1784164991796153.799	,1784164991796201.999	
0,N/A,KERNEL_AICPU,43,18,79.081,1784164991796162.699	,1784164991796241.780	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,17,69.321,1784164991796166.719	,1784164991796236.040	
0,N/A,EVENT_RECORD,46,18,0.020,1784164991796286.721	,1784164991796286.741	
0,N/A,EVENT_WAIT,43,19,0.000,1784164991796291.261	,1784164991796291.261	
0,N/A,EVENT_WAIT,42,18,0.020,1784164991796293.401	,1784164991796293.421	
0,N/A,KERNEL_AICPU,42,19,37.580,1784164991796299.821	,1784164991796337.402	
0,N/A,KERNEL_AICPU,43,20,68.861,1784164991796308.642	,1784164991796377.503	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,19,61.801,1784164991796312.302	,1784164991796374.103	
0,N/A,EVENT_RECORD,46,20,0.020,1784164991796429.604	,1784164991796429.624	
