Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Mul_Tiling,71.07,1,71.07,71.07,71.07,0
host,acl,aclnnMul,6827.33,700,9.753,5.27,2053.88,5980.439
host,acl,aclnnMulGetWorkspaceSize,79522.47,1,79522.47,79522.47,79522.47,0
host,acl,aclrtBinaryLoadFromData,291.59,1,291.59,291.59,291.59,0
host,acl,aclrtCreateEventExWithFlag,30.45,10,3.045,1.9,4.6,0.831
host,acl,aclrtCreateStreamWithConfig,1926.25,2,963.125,742.91,1183.34,48494.646
host,acl,aclrtCtxGetSysParamOpt,16.41,16,1.026,0.52,5.28,1.511
host,acl,aclrtCtxSetSysParamOpt,2.48,2,1.24,0.62,1.86,0.384
host,acl,aclrtDestroyEvent,14.89,10,1.489,0.95,2.89,0.35
host,acl,aclrtDestroyStreamForce,3523.21,1,3523.21,3523.21,3523.21,0
host,acl,aclrtFree,9.65,1,9.65,9.65,9.65,0
host,acl,aclrtGetCurrentContext,1.15,1,1.15,1.15,1.15,0
host,acl,aclrtGetResInCurrentThread,1.77,2,0.885,0.3,1.47,0.342
host,acl,aclrtGetStreamAttribute,290.94,700,0.416,0.35,2.56,0.007
host,acl,aclrtLaunchKernelWithHostArgs,3116.23,700,4.452,3.12,27.76,2.842
host,acl,aclrtMemcpy,58.09,2,29.045,27.07,31.02,3.901
host,acl,aclrtRecordEvent,138.13,10,13.813,6.04,76.58,438.092
host,acl,aclrtResetDevice,3.22,1,3.22,3.22,3.22,0
host,acl,aclrtSetDevice,42.33,1,42.33,42.33,42.33,0
host,acl,aclrtSetOpExecuteTimeOutV2,1200.63,1,1200.63,1200.63,1200.63,0
host,acl,aclrtSetStreamFailureMode,4.74,2,2.37,2.22,2.52,0.022
host,acl,aclrtSynchronizeDeviceWithTimeout,42.59,3,14.197,9.12,18.72,15.513
host,acl,aclrtSynchronizeEvent,1994.96,15,132.997,0.47,539.93,36855.297
host,acl,aclrtSynchronizeStream,4.62,2,2.31,2.02,2.6,0.084
host,node,launch,3862.39,700,5.518,3.82,214.89,65.25
