Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Mul_Tiling,38.86,1,38.86,38.86,38.86,0
host,acl,aclnnMul,6432.91,700,9.19,5,2002.93,5687.947
host,acl,aclnnMulGetWorkspaceSize,79600.93,1,79600.93,79600.93,79600.93,0
host,acl,aclrtBinaryLoadFromData,293.57,1,293.57,293.57,293.57,0
host,acl,aclrtCreateEventExWithFlag,28.56,10,2.856,1.88,4.34,0.774
host,acl,aclrtCreateStreamWithConfig,1863.47,2,931.735,735.79,1127.68,38394.443
host,acl,aclrtCtxGetSysParamOpt,15.42,16,0.964,0.52,4.05,1.026
host,acl,aclrtCtxSetSysParamOpt,5.9,2,2.95,0.66,5.24,5.244
host,acl,aclrtDestroyEvent,14.73,10,1.473,0.89,2.84,0.281
host,acl,aclrtDestroyStreamForce,2659.67,1,2659.67,2659.67,2659.67,0
host,acl,aclrtFree,9.54,1,9.54,9.54,9.54,0
host,acl,aclrtGetCurrentContext,1.08,1,1.08,1.08,1.08,0
host,acl,aclrtGetResInCurrentThread,2.41,2,1.205,0.32,2.09,0.783
host,acl,aclrtGetStreamAttribute,288,700,0.411,0.34,2.37,0.006
host,acl,aclrtLaunchKernelWithHostArgs,2786.08,700,3.98,2.85,21.63,1.461
host,acl,aclrtMemcpy,1707.85,2,853.925,848.47,859.38,29.757
host,acl,aclrtRecordEvent,137.38,10,13.738,5.76,78.52,466.504
host,acl,aclrtResetDevice,3.68,1,3.68,3.68,3.68,0
host,acl,aclrtSetDevice,42.05,1,42.05,42.05,42.05,0
host,acl,aclrtSetOpExecuteTimeOutV2,1192.05,1,1192.05,1192.05,1192.05,0
host,acl,aclrtSetStreamFailureMode,5.22,2,2.61,2.31,2.91,0.09
host,acl,aclrtSynchronizeDeviceWithTimeout,41.12,3,13.707,8.67,18.77,17.002
host,acl,aclrtSynchronizeEvent,2289.57,15,152.638,0.48,817.11,57008.439
host,acl,aclrtSynchronizeStream,5.57,2,2.785,2.58,2.99,0.042
host,node,launch,3518.28,700,5.026,3.59,212.42,62.603
