Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784164724322077.164	,1784164724322077.164	
0,N/A,TASK_TIMEOUT_SET,49,4,100.382,1784164724330486.872	,1784164724330587.254	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,0,12.860,1784164724416561.152	,1784164724416574.012	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,1,4.420,1784164724416718.435	,1784164724416722.855	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,2,4.440,1784164724416752.676	,1784164724416757.116	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,3,4.240,1784164724416759.116	,1784164724416763.356	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,4,4.360,1784164724416765.516	,1784164724416769.876	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,5,4.420,1784164724416781.896	,1784164724416786.316	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,6,4.320,1784164724416788.516	,1784164724416792.836	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,7,4.220,1784164724416795.057	,1784164724416799.277	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,8,4.520,1784164724416801.497	,1784164724416806.017	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,9,4.340,1784164724416807.897	,1784164724416812.237	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,10,4.220,1784164724416822.197	,1784164724416826.417	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,11,4.860,1784164724416828.737	,1784164724416833.597	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,12,4.400,1784164724416835.197	,1784164724416839.597	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,13,4.560,1784164724416841.697	,1784164724416846.258	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,14,4.360,1784164724416848.298	,1784164724416852.658	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,15,4.260,1784164724416861.878	,1784164724416866.138	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,16,4.300,1784164724416868.238	,1784164724416872.538	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,17,4.360,1784164724416874.678	,1784164724416879.038	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,18,4.060,1784164724416881.218	,1784164724416885.278	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,19,4.360,1784164724416887.478	,1784164724416891.838	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,20,4.380,1784164724416901.099	,1784164724416905.479	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,21,4.300,1784164724416907.479	,1784164724416911.779	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,22,4.080,1784164724416913.879	,1784164724416917.959	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,23,4.200,1784164724416920.299	,1784164724416924.499	
