Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784164686026538.913	,1784164686026538.913	
0,N/A,TASK_TIMEOUT_SET,49,4,84.301,1784164686033329.449	,1784164686033413.750	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,0,11.220,1784164686117420.609	,1784164686117431.829	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,1,2.860,1784164686117580.592	,1784164686117583.452	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,2,2.820,1784164686117611.453	,1784164686117614.273	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,3,2.640,1784164686117624.333	,1784164686117626.973	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,4,2.840,1784164686117630.993	,1784164686117633.833	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,5,2.800,1784164686117638.013	,1784164686117640.813	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,6,2.640,1784164686117651.333	,1784164686117653.973	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,7,2.640,1784164686117657.994	,1784164686117660.634	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,8,2.780,1784164686117664.794	,1784164686117667.574	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,9,2.560,1784164686117677.734	,1784164686117680.294	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,10,2.620,1784164686117684.354	,1784164686117686.974	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,11,2.600,1784164686117691.274	,1784164686117693.874	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,12,2.840,1784164686117704.034	,1784164686117706.875	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,13,2.820,1784164686117710.535	,1784164686117713.355	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,14,2.620,1784164686117723.595	,1784164686117726.215	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,15,2.580,1784164686117730.195	,1784164686117732.775	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,16,3.080,1784164686117736.775	,1784164686117739.855	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,17,3.200,1784164686117751.035	,1784164686117754.235	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,18,2.880,1784164686117757.396	,1784164686117760.276	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,19,3.060,1784164686117763.956	,1784164686117767.016	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,20,3.000,1784164686117770.616	,1784164686117773.616	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,21,3.060,1784164686117783.416	,1784164686117786.476	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,22,2.820,1784164686117789.976	,1784164686117792.796	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,23,2.840,1784164686117802.816	,1784164686117805.656	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,24,2.740,1784164686117809.397	,1784164686117812.137	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,25,2.900,1784164686117815.717	,1784164686117818.617	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,26,2.740,1784164686117828.637	,1784164686117831.377	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,27,2.740,1784164686117835.077	,1784164686117837.817	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,28,2.960,1784164686117841.537	,1784164686117844.497	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,29,2.900,1784164686117847.977	,1784164686117850.877	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,30,2.720,1784164686117861.838	,1784164686117864.558	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,31,2.720,1784164686117868.438	,1784164686117871.158	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,32,2.820,1784164686117875.338	,1784164686117878.158	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,33,2.840,1784164686117886.378	,1784164686117889.218	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,34,3.020,1784164686117893.178	,1784164686117896.198	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,35,2.640,1784164686117899.978	,1784164686117902.618	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,36,2.620,1784164686117912.299	,1784164686117914.919	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,37,2.860,1784164686117919.499	,1784164686117922.359	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,38,2.620,1784164686117926.319	,1784164686117928.939	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,39,2.600,1784164686117938.779	,1784164686117941.379	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,40,2.780,1784164686117945.519	,1784164686117948.299	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,41,2.800,1784164686117952.119	,1784164686117954.919	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,42,2.560,1784164686117965.300	,1784164686117967.860	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,43,2.540,1784164686117972.020	,1784164686117974.560	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,44,2.780,1784164686117978.780	,1784164686117981.560	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,45,2.800,1784164686117985.560	,1784164686117988.360	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,46,2.580,1784164686117992.280	,1784164686117994.860	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,47,2.820,1784164686118005.380	,1784164686118008.201	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,48,3.060,1784164686118011.841	,1784164686118014.901	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,49,3.080,1784164686118018.561	,1784164686118021.641	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,50,2.760,1784164686118024.981	,1784164686118027.741	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,51,2.860,1784164686118038.161	,1784164686118041.021	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,52,3.080,1784164686118044.701	,1784164686118047.781	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,53,2.820,1784164686118051.221	,1784164686118054.041	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,54,3.200,1784164686118061.202	,1784164686118064.402	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,55,2.840,1784164686118077.142	,1784164686118079.982	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,56,2.920,1784164686118089.722	,1784164686118092.642	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,57,2.900,1784164686118096.302	,1784164686118099.202	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,58,2.700,1784164686118108.523	,1784164686118111.223	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,59,2.740,1784164686118115.143	,1784164686118117.883	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,60,2.940,1784164686118121.563	,1784164686118124.503	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,61,2.960,1784164686118133.943	,1784164686118136.903	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,62,2.900,1784164686118140.623	,1784164686118143.523	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,63,2.720,1784164686118147.283	,1784164686118150.003	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,64,2.780,1784164686118163.524	,1784164686118166.304	
