Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Mul_Tiling,38.54,1,38.54,38.54,38.54,0
host,acl,aclnnMul,6240.25,700,8.915,4.69,1948.4,5385.144
host,acl,aclnnMulGetWorkspaceSize,78419.7,1,78419.7,78419.7,78419.7,0
host,acl,aclrtBinaryLoadFromData,292.96,1,292.96,292.96,292.96,0
host,acl,aclrtCreateEventExWithFlag,82.47,10,8.247,1.59,59.89,296.78
host,acl,aclrtCreateStreamWithConfig,1913.36,2,956.68,726.91,1186.45,52794.253
host,acl,aclrtCtxGetSysParamOpt,15.24,16,0.952,0.53,4.13,1.004
host,acl,aclrtCtxSetSysParamOpt,2.56,2,1.28,0.63,1.93,0.422
host,acl,aclrtDestroyEvent,62.88,10,6.288,0.86,50.11,213.709
host,acl,aclrtDestroyStreamForce,2245.92,1,2245.92,2245.92,2245.92,0
host,acl,aclrtFree,9.38,1,9.38,9.38,9.38,0
host,acl,aclrtGetCurrentContext,1.44,1,1.44,1.44,1.44,0
host,acl,aclrtGetResInCurrentThread,1.96,2,0.98,0.29,1.67,0.476
host,acl,aclrtGetStreamAttribute,276.82,700,0.395,0.34,1.51,0.003
host,acl,aclrtLaunchKernelWithHostArgs,2767.12,700,3.953,2.82,41.21,3.741
host,acl,aclrtMemcpy,3366.67,2,1683.335,1599.68,1766.99,6998.159
host,acl,aclrtRecordEvent,134.39,10,13.439,5.98,75.01,421.433
host,acl,aclrtResetDevice,3.23,1,3.23,3.23,3.23,0
host,acl,aclrtSetDevice,41.92,1,41.92,41.92,41.92,0
host,acl,aclrtSetOpExecuteTimeOutV2,1176.8,1,1176.8,1176.8,1176.8,0
host,acl,aclrtSetStreamFailureMode,5.09,2,2.545,1.98,3.11,0.319
host,acl,aclrtSynchronizeDeviceWithTimeout,36.79,3,12.263,8.15,15.25,9.036
host,acl,aclrtSynchronizeEvent,2548.74,15,169.916,0.48,748.49,62460.421
host,acl,aclrtSynchronizeStream,5.47,2,2.735,2.59,2.88,0.021
host,node,launch,3495.12,700,4.993,3.46,209.73,63.306
