Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784164737290282.956	,1784164737290282.976	
0,N/A,TASK_TIMEOUT_SET,49,4,85.721,1784164737300332.357	,1784164737300418.079	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,0,18.520,1784164737386858.546	,1784164737386877.066	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,1,5.900,1784164737387009.089	,1784164737387014.989	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,2,5.900,1784164737387038.669	,1784164737387044.569	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,3,5.840,1784164737387050.189	,1784164737387056.030	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,4,5.940,1784164737387056.770	,1784164737387062.710	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,5,5.900,1784164737387069.370	,1784164737387075.270	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,6,5.760,1784164737387076.010	,1784164737387081.770	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,7,5.720,1784164737387082.470	,1784164737387088.190	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,8,6.060,1784164737387088.970	,1784164737387095.030	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,9,5.820,1784164737387095.730	,1784164737387101.550	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,10,6.100,1784164737387111.431	,1784164737387117.531	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,11,5.760,1784164737387118.191	,1784164737387123.951	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,12,6.000,1784164737387124.611	,1784164737387130.611	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,13,6.040,1784164737387131.271	,1784164737387137.311	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210010000,KERNEL_AIVEC,46,14,5.760,1784164737387137.991	,1784164737387143.751	
