Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Mul_Tiling,39.58,1,39.58,39.58,39.58,0
host,acl,aclnnMul,6604.72,700,9.435,5.13,1947.17,5373.446
host,acl,aclnnMulGetWorkspaceSize,80399.76,1,80399.76,80399.76,80399.76,0
host,acl,aclrtBinaryLoadFromData,274.52,1,274.52,274.52,274.52,0
host,acl,aclrtCreateEventExWithFlag,145.9,10,14.59,1.79,114.59,1116.662
host,acl,aclrtCreateStreamWithConfig,1821.82,2,910.91,721.5,1100.32,35876.148
host,acl,aclrtCtxGetSysParamOpt,15.82,16,0.989,0.51,4.53,1.181
host,acl,aclrtCtxSetSysParamOpt,5.97,2,2.985,0.72,5.25,5.13
host,acl,aclrtDestroyEvent,86.07,10,8.607,1.04,71.58,440.896
host,acl,aclrtDestroyStreamForce,1822.21,1,1822.21,1822.21,1822.21,0
host,acl,aclrtFree,12.2,2,6.1,2.11,10.09,15.92
host,acl,aclrtGetCurrentContext,1.38,1,1.38,1.38,1.38,0
host,acl,aclrtGetResInCurrentThread,1.9,2,0.95,0.31,1.59,0.41
host,acl,aclrtGetStreamAttribute,294.33,700,0.42,0.34,5.83,0.049
host,acl,aclrtLaunchKernelWithHostArgs,2955.54,700,4.222,2.97,16.65,1.441
host,acl,aclrtMemcpy,140.84,2,70.42,65.24,75.6,26.832
host,acl,aclrtRecordEvent,146.76,10,14.676,6.21,81.58,499.007
host,acl,aclrtResetDevice,3.07,1,3.07,3.07,3.07,0
host,acl,aclrtSetDevice,39.14,1,39.14,39.14,39.14,0
host,acl,aclrtSetOpExecuteTimeOutV2,1186.91,1,1186.91,1186.91,1186.91,0
host,acl,aclrtSetStreamFailureMode,4.46,2,2.23,1.89,2.57,0.116
host,acl,aclrtSynchronizeDeviceWithTimeout,41.06,3,13.687,9.74,17.81,10.87
host,acl,aclrtSynchronizeEvent,3045.78,15,203.052,0.48,1028.45,96740.637
host,acl,aclrtSynchronizeStream,4.39,2,2.195,2.01,2.38,0.034
host,node,launch,3701.48,700,5.288,3.66,225.83,70.863
