Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Mul_Tiling,39.16,1,39.16,39.16,39.16,0
host,acl,aclnnMul,6675.86,700,9.537,4.95,2113.86,6336.669
host,acl,aclnnMulGetWorkspaceSize,74131.22,1,74131.22,74131.22,74131.22,0
host,acl,aclrtBinaryLoadFromData,328.56,1,328.56,328.56,328.56,0
host,acl,aclrtCreateEventExWithFlag,95.61,10,9.561,1.86,71.13,421.998
host,acl,aclrtCreateStreamWithConfig,1795.49,2,897.745,749.17,1046.32,22074.531
host,acl,aclrtCtxGetSysParamOpt,15.26,16,0.954,0.48,5.13,1.437
host,acl,aclrtCtxSetSysParamOpt,2.92,2,1.46,0.68,2.24,0.608
host,acl,aclrtDestroyEvent,63.28,10,6.328,0.97,49.49,207.243
host,acl,aclrtDestroyStreamForce,3170.11,1,3170.11,3170.11,3170.11,0
host,acl,aclrtFree,12.64,3,4.213,1.75,8.75,10.316
host,acl,aclrtGetCurrentContext,1.53,1,1.53,1.53,1.53,0
host,acl,aclrtGetResInCurrentThread,2.02,2,1.01,0.32,1.7,0.476
host,acl,aclrtGetStreamAttribute,289.96,700,0.414,0.35,2.67,0.009
host,acl,aclrtLaunchKernelWithHostArgs,2914.87,700,4.164,2.8,21.34,1.842
host,acl,aclrtMemcpy,6170.4,2,3085.2,2981.73,3188.67,10706.041
host,acl,aclrtRecordEvent,137.23,10,13.723,6.12,75.54,424.798
host,acl,aclrtResetDevice,3.41,1,3.41,3.41,3.41,0
host,acl,aclrtSetDevice,47.79,1,47.79,47.79,47.79,0
host,acl,aclrtSetOpExecuteTimeOutV2,1186.55,1,1186.55,1186.55,1186.55,0
host,acl,aclrtSetStreamFailureMode,5.21,2,2.605,2.55,2.66,0.003
host,acl,aclrtSynchronizeDeviceWithTimeout,90.7,3,30.233,7.97,68.69,745.598
host,acl,aclrtSynchronizeEvent,2900.9,15,193.393,0.48,912.11,84683.104
host,acl,aclrtSynchronizeStream,6.43,2,3.215,2.79,3.64,0.181
host,node,launch,3644.67,700,5.207,3.52,223.71,69.799
