Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784164711158015.034	,1784164711158015.034	
0,N/A,TASK_TIMEOUT_SET,49,4,81.301,1784164711165284.319	,1784164711165365.621	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,0,13.760,1784164711249617.304	,1784164711249631.065	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,1,3.620,1784164711249775.288	,1784164711249778.908	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,2,3.700,1784164711249804.888	,1784164711249808.588	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,3,3.420,1784164711249815.748	,1784164711249819.168	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,4,3.660,1784164711249822.589	,1784164711249826.249	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,5,3.660,1784164711249835.249	,1784164711249838.909	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,6,3.440,1784164711249841.889	,1784164711249845.329	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,7,3.420,1784164711249848.529	,1784164711249851.949	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,8,3.580,1784164711249855.369	,1784164711249858.949	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,9,3.380,1784164711249867.649	,1784164711249871.030	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,10,3.360,1784164711249874.250	,1784164711249877.610	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,11,3.360,1784164711249880.890	,1784164711249884.250	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,12,3.540,1784164711249887.510	,1784164711249891.050	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,13,3.660,1784164711249894.070	,1784164711249897.730	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,14,3.380,1784164711249909.350	,1784164711249912.730	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,15,3.360,1784164711249915.810	,1784164711249919.170	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,16,3.480,1784164711249922.311	,1784164711249925.791	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,17,3.460,1784164711249929.011	,1784164711249932.471	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,18,3.300,1784164711249935.351	,1784164711249938.651	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,19,3.500,1784164711249949.351	,1784164711249952.851	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,20,3.460,1784164711249955.871	,1784164711249959.331	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,21,3.500,1784164711249962.671	,1784164711249966.171	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,22,3.260,1784164711249969.131	,1784164711249972.392	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,23,3.280,1784164711249975.672	,1784164711249978.952	
0,Mul_93b3f8e9594b4018902b635fff3a83c5_high_performance_210000000,KERNEL_AIVEC,46,24,3.320,1784164711249989.192	,1784164711249992.512	
