Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,37.09,1,37.09,37.09,37.09,0
host,acl,aclrtCreateEvent,8.38,2,4.19,1.01,7.37,10.112
host,acl,aclrtCreateStream,1394.71,1,1394.71,1394.71,1394.71,0
host,acl,aclrtDestroyEvent,8.9,2,4.45,3.17,5.73,1.638
host,acl,aclrtDestroyStream,819.4,1,819.4,819.4,819.4,0
host,acl,aclrtFree,9.77,3,3.257,1.71,5.41,2.466
host,acl,aclrtLaunchKernelWithHostArgs,1876.98,700,2.681,1.9,314.89,139.885
host,acl,aclrtMalloc,21.01,3,7.003,2.01,16.07,41.243
host,acl,aclrtMemcpy,161.31,3,53.77,28.8,94.78,854.201
host,acl,aclrtRecordEvent,192.66,10,19.266,6.39,77.42,383.242
host,acl,aclrtResetDevice,467557.3,1,467557.3,467557.3,467557.3,0
host,acl,aclrtSynchronizeStream,2614.01,6,435.668,386.89,659.56,10030.568
