Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,46.83,1,46.83,46.83,46.83,0
host,acl,aclrtCreateEvent,4.04,2,2.02,1.32,2.72,0.49
host,acl,aclrtCreateStream,817.03,1,817.03,817.03,817.03,0
host,acl,aclrtDestroyEvent,9,2,4.5,3.25,5.75,1.563
host,acl,aclrtDestroyStream,835.96,1,835.96,835.96,835.96,0
host,acl,aclrtFree,10.62,3,3.54,1.7,6.3,3.95
host,acl,aclrtLaunchKernelWithHostArgs,2437.16,700,3.482,1.87,866.72,1066.574
host,acl,aclrtMalloc,310.92,3,103.64,10.37,258.36,12137.891
host,acl,aclrtMemcpy,4760.3,3,1586.767,34.99,2537.29,1224337
host,acl,aclrtRecordEvent,195.46,10,19.546,6.85,78.03,386.932
host,acl,aclrtResetDevice,453991.59,1,453991.59,453991.59,453991.59,0
host,acl,aclrtSynchronizeStream,2887.8,6,481.3,380.79,699.31,13297.735
