Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177667060045.571	,1784177667060045.591	
0,relu_kernel,KERNEL_AIVEC,46,0,11.620,1784177667066781.965	,1784177667066793.586	
0,relu_kernel,KERNEL_AIVEC,46,1,11.160,1784177667066793.606	,1784177667066804.766	
0,relu_kernel,KERNEL_AIVEC,46,2,11.680,1784177667066804.786	,1784177667066816.466	
0,relu_kernel,KERNEL_AIVEC,46,3,8.560,1784177667066816.486	,1784177667066825.046	
0,relu_kernel,KERNEL_AIVEC,46,4,7.980,1784177667066825.086	,1784177667066833.066	
0,relu_kernel,KERNEL_AIVEC,46,5,8.380,1784177667066833.086	,1784177667066841.467	
0,relu_kernel,KERNEL_AIVEC,46,6,7.820,1784177667066841.487	,1784177667066849.307	
0,relu_kernel,KERNEL_AIVEC,46,7,8.460,1784177667066849.327	,1784177667066857.787	
0,relu_kernel,KERNEL_AIVEC,46,8,7.440,1784177667066857.807	,1784177667066865.247	
0,relu_kernel,KERNEL_AIVEC,46,9,8.860,1784177667066865.287	,1784177667066874.147	
0,relu_kernel,KERNEL_AIVEC,46,10,2.160,1784177667066874.167	,1784177667066876.327	
0,relu_kernel,KERNEL_AIVEC,46,11,2.180,1784177667066876.347	,1784177667066878.527	
0,relu_kernel,KERNEL_AIVEC,46,12,2.100,1784177667066878.547	,1784177667066880.647	
0,relu_kernel,KERNEL_AIVEC,46,13,2.140,1784177667066880.667	,1784177667066882.807	
0,relu_kernel,KERNEL_AIVEC,46,14,2.100,1784177667066882.827	,1784177667066884.927	
0,relu_kernel,KERNEL_AIVEC,46,15,2.080,1784177667066884.947	,1784177667066887.027	
0,relu_kernel,KERNEL_AIVEC,46,16,2.260,1784177667066887.047	,1784177667066889.307	
0,relu_kernel,KERNEL_AIVEC,46,17,2.300,1784177667066890.908	,1784177667066893.208	
0,relu_kernel,KERNEL_AIVEC,46,18,2.460,1784177667066897.248	,1784177667066899.708	
0,relu_kernel,KERNEL_AIVEC,46,19,2.160,1784177667066903.468	,1784177667066905.628	
0,relu_kernel,KERNEL_AIVEC,46,20,2.300,1784177667066909.708	,1784177667066912.008	
0,relu_kernel,KERNEL_AIVEC,46,21,2.180,1784177667066915.948	,1784177667066918.128	
0,relu_kernel,KERNEL_AIVEC,46,22,2.120,1784177667066922.168	,1784177667066924.288	
0,relu_kernel,KERNEL_AIVEC,46,23,2.140,1784177667066928.428	,1784177667066930.568	
0,relu_kernel,KERNEL_AIVEC,46,24,2.040,1784177667066934.668	,1784177667066936.708	
0,relu_kernel,KERNEL_AIVEC,46,25,2.140,1784177667066940.809	,1784177667066942.949	
0,relu_kernel,KERNEL_AIVEC,46,26,2.220,1784177667066947.169	,1784177667066949.389	
0,relu_kernel,KERNEL_AIVEC,46,27,2.140,1784177667066953.369	,1784177667066955.509	
0,relu_kernel,KERNEL_AIVEC,46,28,2.160,1784177667066959.509	,1784177667066961.669	
0,relu_kernel,KERNEL_AIVEC,46,29,2.120,1784177667066965.709	,1784177667066967.829	
0,relu_kernel,KERNEL_AIVEC,46,30,2.240,1784177667066971.929	,1784177667066974.169	
0,relu_kernel,KERNEL_AIVEC,46,31,2.140,1784177667066978.069	,1784177667066980.209	
0,relu_kernel,KERNEL_AIVEC,46,32,2.120,1784177667066984.509	,1784177667066986.629	
0,relu_kernel,KERNEL_AIVEC,46,33,2.100,1784177667066990.890	,1784177667066992.990	
0,relu_kernel,KERNEL_AIVEC,46,34,2.060,1784177667066997.470	,1784177667066999.530	
0,relu_kernel,KERNEL_AIVEC,46,35,2.100,1784177667067003.970	,1784177667067006.070	
0,relu_kernel,KERNEL_AIVEC,46,36,2.220,1784177667067010.410	,1784177667067012.630	
0,relu_kernel,KERNEL_AIVEC,46,37,2.460,1784177667067016.830	,1784177667067019.290	
0,relu_kernel,KERNEL_AIVEC,46,38,2.200,1784177667067023.290	,1784177667067025.490	
0,relu_kernel,KERNEL_AIVEC,46,39,2.120,1784177667067029.770	,1784177667067031.890	
0,relu_kernel,KERNEL_AIVEC,46,40,2.120,1784177667067036.110	,1784177667067038.230	
0,relu_kernel,KERNEL_AIVEC,46,41,2.360,1784177667067042.551	,1784177667067044.911	
0,relu_kernel,KERNEL_AIVEC,46,42,2.100,1784177667067049.111	,1784177667067051.211	
0,relu_kernel,KERNEL_AIVEC,46,43,2.120,1784177667067055.491	,1784177667067057.611	
0,relu_kernel,KERNEL_AIVEC,46,44,2.140,1784177667067061.891	,1784177667067064.031	
0,relu_kernel,KERNEL_AIVEC,46,45,2.060,1784177667067068.311	,1784177667067070.371	
0,relu_kernel,KERNEL_AIVEC,46,46,2.240,1784177667067074.691	,1784177667067076.931	
0,relu_kernel,KERNEL_AIVEC,46,47,2.160,1784177667067081.091	,1784177667067083.251	
0,relu_kernel,KERNEL_AIVEC,46,48,2.180,1784177667067087.571	,1784177667067089.751	
0,relu_kernel,KERNEL_AIVEC,46,49,2.140,1784177667067093.712	,1784177667067095.852	
0,relu_kernel,KERNEL_AIVEC,46,50,2.180,1784177667067100.092	,1784177667067102.272	
0,relu_kernel,KERNEL_AIVEC,46,51,2.140,1784177667067106.392	,1784177667067108.532	
0,relu_kernel,KERNEL_AIVEC,46,52,2.200,1784177667067112.712	,1784177667067114.912	
0,relu_kernel,KERNEL_AIVEC,46,53,2.240,1784177667067119.072	,1784177667067121.312	
0,relu_kernel,KERNEL_AIVEC,46,54,2.120,1784177667067125.352	,1784177667067127.472	
0,relu_kernel,KERNEL_AIVEC,46,55,2.080,1784177667067131.612	,1784177667067133.692	
0,relu_kernel,KERNEL_AIVEC,46,56,2.100,1784177667067137.852	,1784177667067139.952	
0,relu_kernel,KERNEL_AIVEC,46,57,2.160,1784177667067144.133	,1784177667067146.293	
0,relu_kernel,KERNEL_AIVEC,46,58,2.200,1784177667067150.473	,1784177667067152.673	
0,relu_kernel,KERNEL_AIVEC,46,59,2.100,1784177667067156.753	,1784177667067158.853	
0,relu_kernel,KERNEL_AIVEC,46,60,2.280,1784177667067163.033	,1784177667067165.313	
0,relu_kernel,KERNEL_AIVEC,46,61,2.200,1784177667067169.213	,1784177667067171.413	
0,relu_kernel,KERNEL_AIVEC,46,62,2.160,1784177667067175.473	,1784177667067177.633	
0,relu_kernel,KERNEL_AIVEC,46,63,2.180,1784177667067181.753	,1784177667067183.933	
0,relu_kernel,KERNEL_AIVEC,46,64,2.100,1784177667067188.073	,1784177667067190.173	
0,relu_kernel,KERNEL_AIVEC,46,65,2.100,1784177667067194.454	,1784177667067196.554	
0,relu_kernel,KERNEL_AIVEC,46,66,2.320,1784177667067201.054	,1784177667067203.374	
0,relu_kernel,KERNEL_AIVEC,46,67,2.300,1784177667067207.294	,1784177667067209.594	
0,relu_kernel,KERNEL_AIVEC,46,68,2.140,1784177667067213.674	,1784177667067215.814	
0,relu_kernel,KERNEL_AIVEC,46,69,2.100,1784177667067220.154	,1784177667067222.254	
0,relu_kernel,KERNEL_AIVEC,46,70,2.260,1784177667067226.454	,1784177667067228.714	
0,relu_kernel,KERNEL_AIVEC,46,71,2.120,1784177667067232.834	,1784177667067234.954	
0,relu_kernel,KERNEL_AIVEC,46,72,2.180,1784177667067239.174	,1784177667067241.355	
0,relu_kernel,KERNEL_AIVEC,46,73,2.180,1784177667067245.555	,1784177667067247.735	
0,relu_kernel,KERNEL_AIVEC,46,74,2.500,1784177667067251.935	,1784177667067254.435	
0,relu_kernel,KERNEL_AIVEC,46,75,2.100,1784177667067258.315	,1784177667067260.415	
0,relu_kernel,KERNEL_AIVEC,46,76,2.200,1784177667067264.595	,1784177667067266.795	
0,relu_kernel,KERNEL_AIVEC,46,77,2.320,1784177667067270.915	,1784177667067273.235	
0,relu_kernel,KERNEL_AIVEC,46,78,2.160,1784177667067277.235	,1784177667067279.395	
0,relu_kernel,KERNEL_AIVEC,46,79,2.100,1784177667067283.575	,1784177667067285.675	
0,relu_kernel,KERNEL_AIVEC,46,80,2.220,1784177667067289.855	,1784177667067292.076	
0,relu_kernel,KERNEL_AIVEC,46,81,2.320,1784177667067296.196	,1784177667067298.516	
0,relu_kernel,KERNEL_AIVEC,46,82,2.180,1784177667067302.336	,1784177667067304.516	
0,relu_kernel,KERNEL_AIVEC,46,83,2.180,1784177667067308.556	,1784177667067310.736	
0,relu_kernel,KERNEL_AIVEC,46,84,2.120,1784177667067314.816	,1784177667067316.936	
0,relu_kernel,KERNEL_AIVEC,46,85,2.100,1784177667067321.036	,1784177667067323.136	
0,relu_kernel,KERNEL_AIVEC,46,86,2.200,1784177667067327.336	,1784177667067329.536	
0,relu_kernel,KERNEL_AIVEC,46,87,2.220,1784177667067333.536	,1784177667067335.756	
0,relu_kernel,KERNEL_AIVEC,46,88,2.180,1784177667067339.736	,1784177667067341.917	
0,relu_kernel,KERNEL_AIVEC,46,89,2.180,1784177667067345.917	,1784177667067348.097	
0,relu_kernel,KERNEL_AIVEC,46,90,2.160,1784177667067352.137	,1784177667067354.297	
0,relu_kernel,KERNEL_AIVEC,46,91,2.120,1784177667067358.357	,1784177667067360.477	
0,relu_kernel,KERNEL_AIVEC,46,92,2.100,1784177667067364.557	,1784177667067366.657	
0,relu_kernel,KERNEL_AIVEC,46,93,2.120,1784177667067370.717	,1784177667067372.837	
0,relu_kernel,KERNEL_AIVEC,46,94,2.100,1784177667067376.877	,1784177667067378.977	
0,relu_kernel,KERNEL_AIVEC,46,95,2.060,1784177667067383.037	,1784177667067385.097	
0,relu_kernel,KERNEL_AIVEC,46,96,2.180,1784177667067389.637	,1784177667067391.818	
0,relu_kernel,KERNEL_AIVEC,46,97,2.260,1784177667067395.858	,1784177667067398.118	
0,relu_kernel,KERNEL_AIVEC,46,98,2.180,1784177667067402.338	,1784177667067404.518	
0,relu_kernel,KERNEL_AIVEC,46,99,2.100,1784177667067408.758	,1784177667067410.858	
0,relu_kernel,KERNEL_AIVEC,46,100,2.300,1784177667067415.198	,1784177667067417.498	
0,relu_kernel,KERNEL_AIVEC,46,101,2.200,1784177667067421.598	,1784177667067423.798	
0,relu_kernel,KERNEL_AIVEC,46,102,2.180,1784177667067428.038	,1784177667067430.218	
0,relu_kernel,KERNEL_AIVEC,46,103,2.160,1784177667067434.658	,1784177667067436.818	
0,relu_kernel,KERNEL_AIVEC,46,104,2.000,1784177667067440.839	,1784177667067442.839	
0,relu_kernel,KERNEL_AIVEC,46,105,2.060,1784177667067447.199	,1784177667067449.259	
0,relu_kernel,KERNEL_AIVEC,46,106,2.180,1784177667067453.659	,1784177667067455.839	
0,relu_kernel,KERNEL_AIVEC,46,107,2.120,1784177667067460.019	,1784177667067462.139	
0,relu_kernel,KERNEL_AIVEC,46,108,2.200,1784177667067466.379	,1784177667067468.579	
0,relu_kernel,KERNEL_AIVEC,46,109,2.120,1784177667067472.739	,1784177667067474.859	
0,relu_kernel,KERNEL_AIVEC,46,110,2.300,1784177667067479.099	,1784177667067481.399	
0,relu_kernel,KERNEL_AIVEC,46,111,2.160,1784177667067485.479	,1784177667067487.639	
0,relu_kernel,KERNEL_AIVEC,46,112,2.140,1784177667067491.760	,1784177667067493.900	
0,relu_kernel,KERNEL_AIVEC,46,113,2.160,1784177667067498.060	,1784177667067500.220	
0,relu_kernel,KERNEL_AIVEC,46,114,2.340,1784177667067504.400	,1784177667067506.740	
0,relu_kernel,KERNEL_AIVEC,46,115,2.100,1784177667067510.680	,1784177667067512.780	
0,relu_kernel,KERNEL_AIVEC,46,116,2.440,1784177667067516.980	,1784177667067519.420	
0,relu_kernel,KERNEL_AIVEC,46,117,2.280,1784177667067523.280	,1784177667067525.560	
0,relu_kernel,KERNEL_AIVEC,46,118,2.220,1784177667067529.540	,1784177667067531.760	
0,relu_kernel,KERNEL_AIVEC,46,119,2.120,1784177667067535.820	,1784177667067537.940	
0,relu_kernel,KERNEL_AIVEC,46,120,2.040,1784177667067542.061	,1784177667067544.101	
0,relu_kernel,KERNEL_AIVEC,46,121,2.140,1784177667067548.281	,1784177667067550.421	
0,relu_kernel,KERNEL_AIVEC,46,122,2.140,1784177667067554.541	,1784177667067556.681	
0,relu_kernel,KERNEL_AIVEC,46,123,2.140,1784177667067560.761	,1784177667067562.901	
0,relu_kernel,KERNEL_AIVEC,46,124,2.120,1784177667067567.001	,1784177667067569.121	
0,relu_kernel,KERNEL_AIVEC,46,125,2.200,1784177667067573.181	,1784177667067575.381	
0,relu_kernel,KERNEL_AIVEC,46,126,2.220,1784177667067579.421	,1784177667067581.641	
0,relu_kernel,KERNEL_AIVEC,46,127,2.180,1784177667067585.661	,1784177667067587.841	
0,relu_kernel,KERNEL_AIVEC,46,128,2.200,1784177667067591.922	,1784177667067594.122	
0,relu_kernel,KERNEL_AIVEC,46,129,2.160,1784177667067598.202	,1784177667067600.362	
0,relu_kernel,KERNEL_AIVEC,46,130,2.140,1784177667067604.562	,1784177667067606.702	
0,relu_kernel,KERNEL_AIVEC,46,131,2.220,1784177667067610.862	,1784177667067613.082	
0,relu_kernel,KERNEL_AIVEC,46,132,2.080,1784177667067617.142	,1784177667067619.222	
0,relu_kernel,KERNEL_AIVEC,46,133,2.140,1784177667067623.402	,1784177667067625.542	
0,relu_kernel,KERNEL_AIVEC,46,134,2.080,1784177667067629.662	,1784177667067631.742	
0,relu_kernel,KERNEL_AIVEC,46,135,2.060,1784177667067635.942	,1784177667067638.002	
0,relu_kernel,KERNEL_AIVEC,46,136,2.180,1784177667067642.263	,1784177667067644.443	
0,relu_kernel,KERNEL_AIVEC,46,137,2.180,1784177667067648.603	,1784177667067650.783	
0,relu_kernel,KERNEL_AIVEC,46,138,2.260,1784177667067654.943	,1784177667067657.203	
0,relu_kernel,KERNEL_AIVEC,46,139,2.260,1784177667067661.283	,1784177667067663.543	
0,relu_kernel,KERNEL_AIVEC,46,140,2.240,1784177667067667.643	,1784177667067669.883	
0,relu_kernel,KERNEL_AIVEC,46,141,2.180,1784177667067673.943	,1784177667067676.123	
0,relu_kernel,KERNEL_AIVEC,46,142,2.160,1784177667067680.363	,1784177667067682.523	
0,relu_kernel,KERNEL_AIVEC,46,143,2.160,1784177667067686.603	,1784177667067688.763	
0,relu_kernel,KERNEL_AIVEC,46,144,2.040,1784177667067692.744	,1784177667067694.784	
0,relu_kernel,KERNEL_AIVEC,46,145,2.100,1784177667067698.884	,1784177667067700.984	
0,relu_kernel,KERNEL_AIVEC,46,146,2.240,1784177667067705.064	,1784177667067707.304	
0,relu_kernel,KERNEL_AIVEC,46,147,2.280,1784177667067711.084	,1784177667067713.364	
0,relu_kernel,KERNEL_AIVEC,46,148,2.140,1784177667067717.064	,1784177667067719.204	
0,relu_kernel,KERNEL_AIVEC,46,149,2.120,1784177667067723.284	,1784177667067725.404	
0,relu_kernel,KERNEL_AIVEC,46,150,2.300,1784177667067729.204	,1784177667067731.504	
0,relu_kernel,KERNEL_AIVEC,46,151,2.120,1784177667067735.044	,1784177667067737.164	
0,relu_kernel,KERNEL_AIVEC,46,152,2.080,1784177667067741.105	,1784177667067743.185	
0,relu_kernel,KERNEL_AIVEC,46,153,2.160,1784177667067747.145	,1784177667067749.305	
0,relu_kernel,KERNEL_AIVEC,46,154,2.160,1784177667067753.205	,1784177667067755.365	
0,relu_kernel,KERNEL_AIVEC,46,155,2.340,1784177667067759.245	,1784177667067761.585	
0,relu_kernel,KERNEL_AIVEC,46,156,2.180,1784177667067765.305	,1784177667067767.485	
0,relu_kernel,KERNEL_AIVEC,46,157,2.160,1784177667067771.365	,1784177667067773.525	
0,relu_kernel,KERNEL_AIVEC,46,158,2.180,1784177667067777.425	,1784177667067779.605	
0,relu_kernel,KERNEL_AIVEC,46,159,2.080,1784177667067783.485	,1784177667067785.565	
0,relu_kernel,KERNEL_AIVEC,46,160,2.200,1784177667067789.705	,1784177667067791.906	
0,relu_kernel,KERNEL_AIVEC,46,161,2.060,1784177667067795.926	,1784177667067797.986	
0,relu_kernel,KERNEL_AIVEC,46,162,2.100,1784177667067802.226	,1784177667067804.326	
0,relu_kernel,KERNEL_AIVEC,46,163,2.140,1784177667067808.446	,1784177667067810.586	
0,relu_kernel,KERNEL_AIVEC,46,164,2.160,1784177667067814.666	,1784177667067816.826	
0,relu_kernel,KERNEL_AIVEC,46,165,2.120,1784177667067820.886	,1784177667067823.006	
0,relu_kernel,KERNEL_AIVEC,46,166,2.220,1784177667067827.146	,1784177667067829.366	
0,relu_kernel,KERNEL_AIVEC,46,167,2.220,1784177667067833.366	,1784177667067835.586	
0,relu_kernel,KERNEL_AIVEC,46,168,2.120,1784177667067839.626	,1784177667067841.747	
0,relu_kernel,KERNEL_AIVEC,46,169,2.100,1784177667067845.907	,1784177667067848.007	
0,relu_kernel,KERNEL_AIVEC,46,170,2.100,1784177667067852.207	,1784177667067854.307	
