Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,relu_kernel,N/A,N/A,N/A,1784177716947468.469	,14.281,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401648,0.0,0.093,0.0,0.344,0.0,0.543,0.0,0.444,0.024,0.000
0,4294967295,1,46,relu_kernel,N/A,N/A,N/A,1784177716947482.770	,11.500,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313178,0.0,0.119,0.0,0.479,0.0,0.434,0.0,0.411,0.025,0.000
0,4294967295,2,46,relu_kernel,N/A,N/A,N/A,1784177716947494.290	,5.840,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151784,0.0,0.247,0.0,0.661,0.0,0.754,0.0,0.792,0.0,0.000
0,4294967295,3,46,relu_kernel,N/A,N/A,N/A,1784177716947500.150	,5.740,0.160000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151745,0.0,0.247,0.0,0.649,0.0,0.748,0.0,0.779,0.0,0.000
0,4294967295,4,46,relu_kernel,N/A,N/A,N/A,1784177716947505.910	,6.100,0.010000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153393,0.0,0.244,0.0,0.66,0.0,0.746,0.0,0.785,0.0,0.000
0,4294967295,5,46,relu_kernel,N/A,N/A,N/A,1784177716947512.030	,6.220,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163099,0.0,0.229,0.0,0.663,0.0,0.698,0.0,0.735,0.0,0.000
0,4294967295,6,46,relu_kernel,N/A,N/A,N/A,1784177716947518.270	,6.080,0.030000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153505,0.0,0.244,0.0,0.664,0.0,0.748,0.0,0.783,0.0,0.000
0,4294967295,7,46,relu_kernel,N/A,N/A,N/A,1784177716947524.390	,5.740,0.170000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151923,0.0,0.246,0.0,0.648,0.0,0.746,0.0,0.778,0.0,0.000
0,4294967295,8,46,relu_kernel,N/A,N/A,N/A,1784177716947530.150	,5.841,0.010000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151328,0.0,0.247,0.0,0.653,0.0,0.756,0.0,0.801,0.0,0.000
0,4294967295,9,46,relu_kernel,N/A,N/A,N/A,1784177716947536.011	,5.720,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151392,0.0,0.247,0.0,0.647,0.0,0.748,0.0,0.783,0.0,0.000
