Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177716936537.291	,1784177716936537.291	
0,relu_kernel,KERNEL_AIVEC,46,0,14.280,1784177716947468.469	,1784177716947482.750	
0,relu_kernel,KERNEL_AIVEC,46,1,11.500,1784177716947482.770	,1784177716947494.270	
0,relu_kernel,KERNEL_AIVEC,46,2,5.840,1784177716947494.290	,1784177716947500.130	
0,relu_kernel,KERNEL_AIVEC,46,3,5.740,1784177716947500.150	,1784177716947505.890	
0,relu_kernel,KERNEL_AIVEC,46,4,6.100,1784177716947505.910	,1784177716947512.010	
0,relu_kernel,KERNEL_AIVEC,46,5,6.220,1784177716947512.030	,1784177716947518.250	
0,relu_kernel,KERNEL_AIVEC,46,6,6.080,1784177716947518.270	,1784177716947524.350	
0,relu_kernel,KERNEL_AIVEC,46,7,5.740,1784177716947524.390	,1784177716947530.130	
0,relu_kernel,KERNEL_AIVEC,46,8,5.840,1784177716947530.150	,1784177716947535.991	
0,relu_kernel,KERNEL_AIVEC,46,9,5.720,1784177716947536.011	,1784177716947541.731	
0,relu_kernel,KERNEL_AIVEC,46,10,5.920,1784177716947541.751	,1784177716947547.671	
0,relu_kernel,KERNEL_AIVEC,46,11,5.700,1784177716947547.691	,1784177716947553.391	
0,relu_kernel,KERNEL_AIVEC,46,12,5.940,1784177716947553.431	,1784177716947559.371	
0,relu_kernel,KERNEL_AIVEC,46,13,6.060,1784177716947559.391	,1784177716947565.451	
0,relu_kernel,KERNEL_AIVEC,46,14,6.040,1784177716947565.491	,1784177716947571.531	
0,relu_kernel,KERNEL_AIVEC,46,15,5.960,1784177716947571.551	,1784177716947577.511	
0,relu_kernel,KERNEL_AIVEC,46,16,5.900,1784177716947577.531	,1784177716947583.432	
0,relu_kernel,KERNEL_AIVEC,46,17,5.820,1784177716947583.452	,1784177716947589.272	
0,relu_kernel,KERNEL_AIVEC,46,18,5.900,1784177716947589.292	,1784177716947595.192	
0,relu_kernel,KERNEL_AIVEC,46,19,5.840,1784177716947595.212	,1784177716947601.052	
0,relu_kernel,KERNEL_AIVEC,46,20,6.140,1784177716947601.092	,1784177716947607.232	
0,relu_kernel,KERNEL_AIVEC,46,21,5.880,1784177716947607.252	,1784177716947613.132	
0,relu_kernel,KERNEL_AIVEC,46,22,6.080,1784177716947613.172	,1784177716947619.252	
0,relu_kernel,KERNEL_AIVEC,46,23,5.800,1784177716947619.272	,1784177716947625.072	
0,relu_kernel,KERNEL_AIVEC,46,24,5.800,1784177716947625.092	,1784177716947630.893	
0,relu_kernel,KERNEL_AIVEC,46,25,5.740,1784177716947630.913	,1784177716947636.653	
0,relu_kernel,KERNEL_AIVEC,46,26,5.940,1784177716947636.673	,1784177716947642.613	
0,relu_kernel,KERNEL_AIVEC,46,27,5.700,1784177716947642.653	,1784177716947648.353	
0,relu_kernel,KERNEL_AIVEC,46,28,6.000,1784177716947648.373	,1784177716947654.373	
0,relu_kernel,KERNEL_AIVEC,46,29,6.300,1784177716947654.393	,1784177716947660.693	
0,relu_kernel,KERNEL_AIVEC,46,30,5.980,1784177716947660.713	,1784177716947666.693	
0,relu_kernel,KERNEL_AIVEC,46,31,5.780,1784177716947666.713	,1784177716947672.493	
0,relu_kernel,KERNEL_AIVEC,46,32,5.920,1784177716947672.513	,1784177716947678.433	
0,relu_kernel,KERNEL_AIVEC,46,33,5.820,1784177716947678.473	,1784177716947684.294	
0,relu_kernel,KERNEL_AIVEC,46,34,5.920,1784177716947684.314	,1784177716947690.234	
0,relu_kernel,KERNEL_AIVEC,46,35,5.860,1784177716947690.254	,1784177716947696.114	
0,relu_kernel,KERNEL_AIVEC,46,36,6.020,1784177716947696.134	,1784177716947702.154	
0,relu_kernel,KERNEL_AIVEC,46,37,5.740,1784177716947702.194	,1784177716947707.934	
0,relu_kernel,KERNEL_AIVEC,46,38,6.020,1784177716947707.974	,1784177716947713.994	
0,relu_kernel,KERNEL_AIVEC,46,39,5.760,1784177716947714.034	,1784177716947719.794	
0,relu_kernel,KERNEL_AIVEC,46,40,5.860,1784177716947719.814	,1784177716947725.674	
0,relu_kernel,KERNEL_AIVEC,46,41,5.760,1784177716947725.694	,1784177716947731.455	
0,relu_kernel,KERNEL_AIVEC,46,42,6.040,1784177716947731.595	,1784177716947737.635	
0,relu_kernel,KERNEL_AIVEC,46,43,5.800,1784177716947738.155	,1784177716947743.955	
0,relu_kernel,KERNEL_AIVEC,46,44,5.920,1784177716947744.435	,1784177716947750.355	
0,relu_kernel,KERNEL_AIVEC,46,45,5.740,1784177716947750.515	,1784177716947756.255	
0,relu_kernel,KERNEL_AIVEC,46,46,5.920,1784177716947757.075	,1784177716947762.995	
0,relu_kernel,KERNEL_AIVEC,46,47,5.880,1784177716947763.115	,1784177716947768.995	
0,relu_kernel,KERNEL_AIVEC,46,48,5.960,1784177716947769.595	,1784177716947775.555	
0,relu_kernel,KERNEL_AIVEC,46,49,5.860,1784177716947775.615	,1784177716947781.476	
0,relu_kernel,KERNEL_AIVEC,46,50,5.900,1784177716947782.116	,1784177716947788.016	
0,relu_kernel,KERNEL_AIVEC,46,51,5.840,1784177716947788.036	,1784177716947793.876	
0,relu_kernel,KERNEL_AIVEC,46,52,5.920,1784177716947794.116	,1784177716947800.036	
0,relu_kernel,KERNEL_AIVEC,46,53,5.780,1784177716947800.176	,1784177716947805.956	
0,relu_kernel,KERNEL_AIVEC,46,54,5.940,1784177716947806.536	,1784177716947812.476	
0,relu_kernel,KERNEL_AIVEC,46,55,5.740,1784177716947812.496	,1784177716947818.236	
0,relu_kernel,KERNEL_AIVEC,46,56,5.840,1784177716947818.736	,1784177716947824.576	
0,relu_kernel,KERNEL_AIVEC,46,57,5.860,1784177716947824.636	,1784177716947830.496	
0,relu_kernel,KERNEL_AIVEC,46,58,6.000,1784177716947830.836	,1784177716947836.837	
0,relu_kernel,KERNEL_AIVEC,46,59,5.880,1784177716947836.877	,1784177716947842.757	
0,relu_kernel,KERNEL_AIVEC,46,60,6.020,1784177716947842.877	,1784177716947848.897	
0,relu_kernel,KERNEL_AIVEC,46,61,5.720,1784177716947848.997	,1784177716947854.717	
0,relu_kernel,KERNEL_AIVEC,46,62,5.920,1784177716947855.377	,1784177716947861.297	
0,relu_kernel,KERNEL_AIVEC,46,63,5.700,1784177716947861.337	,1784177716947867.037	
0,relu_kernel,KERNEL_AIVEC,46,64,5.900,1784177716947867.897	,1784177716947873.797	
0,relu_kernel,KERNEL_AIVEC,46,65,5.760,1784177716947873.817	,1784177716947879.577	
0,relu_kernel,KERNEL_AIVEC,46,66,5.940,1784177716947880.277	,1784177716947886.218	
0,relu_kernel,KERNEL_AIVEC,46,67,5.780,1784177716947886.278	,1784177716947892.058	
0,relu_kernel,KERNEL_AIVEC,46,68,5.900,1784177716947892.718	,1784177716947898.618	
0,relu_kernel,KERNEL_AIVEC,46,69,5.820,1784177716947898.698	,1784177716947904.518	
0,relu_kernel,KERNEL_AIVEC,46,70,6.100,1784177716947905.138	,1784177716947911.238	
0,relu_kernel,KERNEL_AIVEC,46,71,5.760,1784177716947911.258	,1784177716947917.018	
0,relu_kernel,KERNEL_AIVEC,46,72,5.780,1784177716947917.758	,1784177716947923.538	
0,relu_kernel,KERNEL_AIVEC,46,73,5.760,1784177716947923.658	,1784177716947929.418	
0,relu_kernel,KERNEL_AIVEC,46,74,5.980,1784177716947929.998	,1784177716947935.979	
0,relu_kernel,KERNEL_AIVEC,46,75,5.720,1784177716947936.019	,1784177716947941.739	
0,relu_kernel,KERNEL_AIVEC,46,76,6.000,1784177716947942.399	,1784177716947948.399	
0,relu_kernel,KERNEL_AIVEC,46,77,5.780,1784177716947948.419	,1784177716947954.199	
0,relu_kernel,KERNEL_AIVEC,46,78,6.080,1784177716947954.719	,1784177716947960.799	
0,relu_kernel,KERNEL_AIVEC,46,79,5.920,1784177716947960.819	,1784177716947966.739	
0,relu_kernel,KERNEL_AIVEC,46,80,5.860,1784177716947966.799	,1784177716947972.659	
0,relu_kernel,KERNEL_AIVEC,46,81,5.800,1784177716947973.219	,1784177716947979.019	
0,relu_kernel,KERNEL_AIVEC,46,82,6.020,1784177716947979.039	,1784177716947985.060	
0,relu_kernel,KERNEL_AIVEC,46,83,5.780,1784177716947985.080	,1784177716947990.860	
0,relu_kernel,KERNEL_AIVEC,46,84,6.180,1784177716947991.340	,1784177716947997.520	
0,relu_kernel,KERNEL_AIVEC,46,85,5.860,1784177716947997.540	,1784177716948003.400	
0,relu_kernel,KERNEL_AIVEC,46,86,6.000,1784177716948003.420	,1784177716948009.420	
0,relu_kernel,KERNEL_AIVEC,46,87,5.720,1784177716948009.440	,1784177716948015.160	
0,relu_kernel,KERNEL_AIVEC,46,88,5.820,1784177716948015.640	,1784177716948021.460	
0,relu_kernel,KERNEL_AIVEC,46,89,5.740,1784177716948021.480	,1784177716948027.220	
0,relu_kernel,KERNEL_AIVEC,46,90,5.800,1784177716948027.820	,1784177716948033.621	
0,relu_kernel,KERNEL_AIVEC,46,91,5.760,1784177716948033.641	,1784177716948039.401	
0,relu_kernel,KERNEL_AIVEC,46,92,6.080,1784177716948039.901	,1784177716948045.981	
0,relu_kernel,KERNEL_AIVEC,46,93,5.800,1784177716948046.001	,1784177716948051.801	
0,relu_kernel,KERNEL_AIVEC,46,94,5.960,1784177716948051.821	,1784177716948057.781	
