Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtBinaryLoadFromData,47.26,1,47.26,47.26,47.26,0
host,acl,aclrtCreateEvent,7.35,2,3.675,1.01,6.34,7.102
host,acl,aclrtCreateStream,843.59,1,843.59,843.59,843.59,0
host,acl,aclrtDestroyEvent,8.5,2,4.25,3.19,5.31,1.124
host,acl,aclrtDestroyStream,874.38,1,874.38,874.38,874.38,0
host,acl,aclrtFree,16.99,3,5.663,1.77,12.47,23.325
host,acl,aclrtLaunchKernelWithHostArgs,2574.41,700,3.678,1.8,1089.7,1687.688
host,acl,aclrtMalloc,135.99,3,45.33,12.02,77.81,721.732
host,acl,aclrtMemcpy,16853.1,3,5617.7,28.12,11616.88,22467112.47
host,acl,aclrtRecordEvent,186.23,10,18.623,6.28,71.31,315.423
host,acl,aclrtResetDevice,438192.52,1,438192.52,438192.52,438192.52,0
host,acl,aclrtSynchronizeStream,4860.67,6,810.112,692.16,1371.19,63002.818
