Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,relu_kernel,N/A,N/A,N/A,1784177692824347.217	,10.540,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297622,0.0,0.032,0.0,0.32,0.0,0.238,0.0,0.126,0.063,0.000
0,4294967295,1,46,relu_kernel,N/A,N/A,N/A,1784177692824357.777	,10.061,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280554,0.0,0.034,0.0,0.361,0.0,0.215,0.0,0.123,0.062,0.000
0,4294967295,2,46,relu_kernel,N/A,N/A,N/A,1784177692824367.858	,2.860,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60621,0.0,0.161,0.0,0.725,0.0,0.412,0.0,0.487,0.0,0.000
0,4294967295,3,46,relu_kernel,N/A,N/A,N/A,1784177692824370.738	,2.920,0.140000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61107,0.0,0.16,0.0,0.675,0.0,0.413,0.0,0.468,0.0,0.000
0,4294967295,4,46,relu_kernel,N/A,N/A,N/A,1784177692824373.698	,3.100,0.080000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61693,0.0,0.158,0.0,0.717,0.0,0.421,0.0,0.486,0.0,0.000
0,4294967295,5,46,relu_kernel,N/A,N/A,N/A,1784177692824387.298	,2.940,10.400000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61607,0.0,0.159,0.0,0.671,0.0,0.407,0.0,0.469,0.0,0.000
0,4294967295,6,46,relu_kernel,N/A,N/A,N/A,1784177692824393.578	,3.160,3.310000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63119,0.0,0.155,0.0,0.739,0.0,0.408,0.0,0.463,0.0,0.000
0,4294967295,7,46,relu_kernel,N/A,N/A,N/A,1784177692824399.938	,3.340,3.340000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73005,0.0,0.134,0.0,0.698,0.0,0.361,0.0,0.418,0.0,0.000
0,4294967295,8,46,relu_kernel,N/A,N/A,N/A,1784177692824406.238	,2.840,2.910000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59961,0.0,0.163,0.0,0.716,0.0,0.429,0.0,0.498,0.0,0.000
0,4294967295,9,46,relu_kernel,N/A,N/A,N/A,1784177692824412.478	,2.980,3.410000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61462,0.0,0.159,0.0,0.667,0.0,0.407,0.0,0.471,0.0,0.000
0,4294967295,10,46,relu_kernel,N/A,N/A,N/A,1784177692824425.539	,2.980,10.020000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61190,0.0,0.16,0.0,0.709,0.0,0.423,0.0,0.499,0.0,0.000
0,4294967295,11,46,relu_kernel,N/A,N/A,N/A,1784177692824431.799	,2.880,3.270000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61179,0.0,0.16,0.0,0.671,0.0,0.409,0.0,0.468,0.0,0.000
0,4294967295,12,46,relu_kernel,N/A,N/A,N/A,1784177692824438.059	,3.040,3.370000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60773,0.0,0.161,0.0,0.715,0.0,0.423,0.0,0.5,0.0,0.000
0,4294967295,13,46,relu_kernel,N/A,N/A,N/A,1784177692824444.339	,2.940,3.210000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61875,0.0,0.158,0.0,0.676,0.0,0.404,0.0,0.463,0.0,0.000
0,4294967295,14,46,relu_kernel,N/A,N/A,N/A,1784177692824450.759	,3.080,3.560000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62283,0.0,0.157,0.0,0.707,0.0,0.431,0.0,0.501,0.0,0.000
0,4294967295,15,46,relu_kernel,N/A,N/A,N/A,1784177692824464.159	,2.960,10.420000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62291,0.0,0.157,0.0,0.678,0.0,0.404,0.0,0.461,0.0,0.000
0,4294967295,16,46,relu_kernel,N/A,N/A,N/A,1784177692824470.380	,2.840,3.290000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61150,0.0,0.16,0.0,0.714,0.0,0.424,0.0,0.493,0.0,0.000
0,4294967295,17,46,relu_kernel,N/A,N/A,N/A,1784177692824476.560	,2.980,3.160000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61112,0.0,0.16,0.0,0.663,0.0,0.416,0.0,0.471,0.0,0.000
0,4294967295,18,46,relu_kernel,N/A,N/A,N/A,1784177692824482.840	,3.060,3.270000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61475,0.0,0.159,0.0,0.709,0.0,0.424,0.0,0.498,0.0,0.000
0,4294967295,19,46,relu_kernel,N/A,N/A,N/A,1784177692824488.940	,2.980,3.190000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61380,0.0,0.159,0.0,0.667,0.0,0.414,0.0,0.467,0.0,0.000
0,4294967295,20,46,relu_kernel,N/A,N/A,N/A,1784177692824537.381	,3.140,45.520000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61812,0.0,0.158,0.0,0.722,0.0,0.421,0.0,0.485,0.0,0.000
