Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177692816450.759	,1784177692816450.779	
0,relu_kernel,KERNEL_AIVEC,46,0,10.540,1784177692824347.217	,1784177692824357.757	
0,relu_kernel,KERNEL_AIVEC,46,1,10.060,1784177692824357.777	,1784177692824367.838	
0,relu_kernel,KERNEL_AIVEC,46,2,2.860,1784177692824367.858	,1784177692824370.718	
0,relu_kernel,KERNEL_AIVEC,46,3,2.920,1784177692824370.738	,1784177692824373.658	
0,relu_kernel,KERNEL_AIVEC,46,4,3.100,1784177692824373.698	,1784177692824376.798	
0,relu_kernel,KERNEL_AIVEC,46,5,2.940,1784177692824387.298	,1784177692824390.238	
0,relu_kernel,KERNEL_AIVEC,46,6,3.160,1784177692824393.578	,1784177692824396.738	
0,relu_kernel,KERNEL_AIVEC,46,7,3.340,1784177692824399.938	,1784177692824403.278	
0,relu_kernel,KERNEL_AIVEC,46,8,2.840,1784177692824406.238	,1784177692824409.078	
0,relu_kernel,KERNEL_AIVEC,46,9,2.980,1784177692824412.478	,1784177692824415.458	
0,relu_kernel,KERNEL_AIVEC,46,10,2.980,1784177692824425.539	,1784177692824428.519	
0,relu_kernel,KERNEL_AIVEC,46,11,2.880,1784177692824431.799	,1784177692824434.679	
0,relu_kernel,KERNEL_AIVEC,46,12,3.040,1784177692824438.059	,1784177692824441.099	
0,relu_kernel,KERNEL_AIVEC,46,13,2.940,1784177692824444.339	,1784177692824447.279	
0,relu_kernel,KERNEL_AIVEC,46,14,3.080,1784177692824450.759	,1784177692824453.839	
0,relu_kernel,KERNEL_AIVEC,46,15,2.960,1784177692824464.159	,1784177692824467.119	
0,relu_kernel,KERNEL_AIVEC,46,16,2.840,1784177692824470.380	,1784177692824473.220	
0,relu_kernel,KERNEL_AIVEC,46,17,2.980,1784177692824476.560	,1784177692824479.540	
0,relu_kernel,KERNEL_AIVEC,46,18,3.060,1784177692824482.840	,1784177692824485.900	
0,relu_kernel,KERNEL_AIVEC,46,19,2.980,1784177692824488.940	,1784177692824491.920	
0,relu_kernel,KERNEL_AIVEC,46,20,3.140,1784177692824537.381	,1784177692824540.521	
0,relu_kernel,KERNEL_AIVEC,46,21,2.960,1784177692824543.421	,1784177692824546.381	
0,relu_kernel,KERNEL_AIVEC,46,22,3.160,1784177692824549.661	,1784177692824552.821	
0,relu_kernel,KERNEL_AIVEC,46,23,2.940,1784177692824555.781	,1784177692824558.721	
0,relu_kernel,KERNEL_AIVEC,46,24,2.880,1784177692824561.861	,1784177692824564.741	
0,relu_kernel,KERNEL_AIVEC,46,25,3.300,1784177692824574.602	,1784177692824577.902	
0,relu_kernel,KERNEL_AIVEC,46,26,2.800,1784177692824580.682	,1784177692824583.482	
0,relu_kernel,KERNEL_AIVEC,46,27,2.900,1784177692824586.722	,1784177692824589.622	
0,relu_kernel,KERNEL_AIVEC,46,28,3.060,1784177692824592.782	,1784177692824595.842	
0,relu_kernel,KERNEL_AIVEC,46,29,2.940,1784177692824598.802	,1784177692824601.742	
0,relu_kernel,KERNEL_AIVEC,46,30,3.040,1784177692824611.542	,1784177692824614.582	
0,relu_kernel,KERNEL_AIVEC,46,31,2.920,1784177692824617.542	,1784177692824620.463	
0,relu_kernel,KERNEL_AIVEC,46,32,2.880,1784177692824623.883	,1784177692824626.763	
0,relu_kernel,KERNEL_AIVEC,46,33,2.980,1784177692824630.223	,1784177692824633.203	
0,relu_kernel,KERNEL_AIVEC,46,34,2.980,1784177692824636.523	,1784177692824639.503	
0,relu_kernel,KERNEL_AIVEC,46,35,2.980,1784177692824649.563	,1784177692824652.543	
0,relu_kernel,KERNEL_AIVEC,46,36,3.020,1784177692824655.883	,1784177692824658.903	
0,relu_kernel,KERNEL_AIVEC,46,37,2.940,1784177692824662.183	,1784177692824665.123	
0,relu_kernel,KERNEL_AIVEC,46,38,3.100,1784177692824668.584	,1784177692824671.684	
0,relu_kernel,KERNEL_AIVEC,46,39,3.040,1784177692824674.884	,1784177692824677.924	
0,relu_kernel,KERNEL_AIVEC,46,40,2.880,1784177692824687.844	,1784177692824690.724	
