Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,51.51,100,0.515,0.41,1.35,0.01
host,acl,aclmdlRICaptureThreadExchangeMode,3.37,2,1.685,1.66,1.71,0.001
host,acl,aclrtCreateEventExWithFlag,8.52,1,8.52,8.52,8.52,0
host,acl,aclrtCreateStreamWithConfig,1932.93,2,966.465,732.94,1199.99,54533.926
host,acl,aclrtCtxSetSysParamOpt,1.3,1,1.3,1.3,1.3,0
host,acl,aclrtDestroyStreamForce,1938.52,1,1938.52,1938.52,1938.52,0
host,acl,aclrtGetCurrentContext,1.37,1,1.37,1.37,1.37,0
host,acl,aclrtGetStreamResLimit,88.63,204,0.434,0.28,1.73,0.025
host,acl,aclrtMemcpy,47.26,1,47.26,47.26,47.26,0
host,acl,aclrtRecordEvent,1354.71,100,13.547,6.79,213.97,752.215
host,acl,aclrtResetDevice,2.47,1,2.47,2.47,2.47,0
host,acl,aclrtSetDevice,38.12,1,38.12,38.12,38.12,0
host,acl,aclrtSetOpExecuteTimeOutV2,1265.17,1,1265.17,1265.17,1265.17,0
host,acl,aclrtSetStreamFailureMode,4.41,2,2.205,2.18,2.23,0.001
host,acl,aclrtStreamWaitEvent,894.9,200,4.474,0.92,18,4.066
host,acl,aclrtSynchronizeDeviceWithTimeout,50.69,3,16.897,8.11,32.8,126.923
host,acl,aclrtSynchronizeStream,4.43,1,4.43,4.43,4.43,0
host,node,launch,2353.51,300,7.845,2.71,153.62,89.014
