Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784178002354487.350	,1784178002354487.370	
0,N/A,TASK_TIMEOUT_SET,49,4,174.823,1784178002361294.266	,1784178002361469.089	
0,N/A,KERNEL_AICPU,43,0,3027.820,1784178004095101.987	,1784178004098129.808	
0,N/A,EVENT_WAIT,43,1,6.100,1784178004098335.772	,1784178004098341.872	
0,N/A,EVENT_RECORD,46,0,0.020,1784178004098341.312	,1784178004098341.332	
0,N/A,EVENT_WAIT,42,0,0.020,1784178004098343.232	,1784178004098343.252	
0,N/A,KERNEL_AICPU,42,1,188.723,1784178004098349.832	,1784178004098538.556	
0,N/A,KERNEL_AICPU,43,2,225.544,1784178004098362.572	,1784178004098588.117	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,106.622,1784178004098464.514	,1784178004098571.137	
0,N/A,EVENT_WAIT,43,3,2.660,1784178004098841.342	,1784178004098844.002	
0,N/A,EVENT_RECORD,46,2,0.020,1784178004098843.562	,1784178004098843.582	
0,N/A,EVENT_WAIT,42,2,0.000,1784178004098848.442	,1784178004098848.442	
0,N/A,KERNEL_AICPU,42,3,78.381,1784178004098855.022	,1784178004098933.404	
0,N/A,KERNEL_AICPU,43,4,99.121,1784178004098865.942	,1784178004098965.064	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,83.501,1784178004098875.603	,1784178004098959.104	
0,N/A,EVENT_WAIT,43,5,2.500,1784178004099034.126	,1784178004099036.626	
0,N/A,EVENT_RECORD,46,4,0.020,1784178004099036.186	,1784178004099036.206	
0,N/A,EVENT_WAIT,42,4,0.020,1784178004099041.206	,1784178004099041.226	
0,N/A,KERNEL_AICPU,42,5,80.741,1784178004099047.686	,1784178004099128.428	
0,N/A,KERNEL_AICPU,43,6,106.602,1784178004099049.006	,1784178004099155.608	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,87.861,1784178004099061.726	,1784178004099149.588	
0,N/A,EVENT_RECORD,46,6,0.020,1784178004099216.729	,1784178004099216.749	
0,N/A,EVENT_WAIT,43,7,0.020,1784178004099216.749	,1784178004099216.769	
0,N/A,EVENT_WAIT,42,6,0.000,1784178004099223.630	,1784178004099223.630	
0,N/A,KERNEL_AICPU,42,7,50.381,1784178004099230.290	,1784178004099280.671	
0,N/A,KERNEL_AICPU,43,8,70.481,1784178004099240.010	,1784178004099310.491	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,60.461,1784178004099244.210	,1784178004099304.671	
0,N/A,EVENT_WAIT,43,9,2.580,1784178004099377.393	,1784178004099379.973	
0,N/A,EVENT_RECORD,46,8,0.020,1784178004099379.513	,1784178004099379.533	
0,N/A,EVENT_WAIT,42,8,0.020,1784178004099384.493	,1784178004099384.513	
0,N/A,KERNEL_AICPU,42,9,38.760,1784178004099390.953	,1784178004099429.714	
0,N/A,KERNEL_AICPU,43,10,69.441,1784178004099392.213	,1784178004099461.654	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,53.181,1784178004099404.793	,1784178004099457.974	
0,N/A,EVENT_WAIT,43,11,2.460,1784178004099524.016	,1784178004099526.476	
0,N/A,EVENT_RECORD,46,10,0.020,1784178004099526.016	,1784178004099526.036	
0,N/A,EVENT_WAIT,42,10,0.020,1784178004099531.216	,1784178004099531.236	
0,N/A,KERNEL_AICPU,42,11,50.101,1784178004099537.756	,1784178004099587.857	
0,N/A,KERNEL_AICPU,43,12,77.181,1784178004099538.776	,1784178004099615.957	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,58.401,1784178004099551.696	,1784178004099610.097	
0,N/A,EVENT_WAIT,43,13,2.780,1784178004099668.978	,1784178004099671.759	
0,N/A,EVENT_RECORD,46,12,0.020,1784178004099671.299	,1784178004099671.319	
0,N/A,EVENT_WAIT,42,12,0.020,1784178004099676.139	,1784178004099676.159	
0,N/A,KERNEL_AICPU,42,13,39.160,1784178004099682.799	,1784178004099721.960	
0,N/A,KERNEL_AICPU,43,14,68.061,1784178004099684.159	,1784178004099752.220	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,49.721,1784178004099696.839	,1784178004099746.560	
0,N/A,EVENT_WAIT,43,15,2.800,1784178004099828.882	,1784178004099831.682	
0,N/A,EVENT_RECORD,46,14,0.020,1784178004099831.202	,1784178004099831.222	
0,N/A,EVENT_WAIT,42,14,0.000,1784178004099835.862	,1784178004099835.862	
0,N/A,KERNEL_AICPU,42,15,35.520,1784178004099842.382	,1784178004099877.903	
