Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784178107811575.679	,1784178107811575.679	
0,N/A,TASK_TIMEOUT_SET,49,4,168.083,1784178107817855.004	,1784178107818023.088	
0,N/A,KERNEL_AICPU,43,0,2974.799,1784178109558342.559	,1784178109561317.359	
0,N/A,EVENT_WAIT,43,1,6.140,1784178109561549.503	,1784178109561555.644	
0,N/A,EVENT_RECORD,46,0,0.020,1784178109561555.184	,1784178109561555.204	
0,N/A,EVENT_WAIT,42,0,0.020,1784178109561556.844	,1784178109561556.864	
0,N/A,KERNEL_AICPU,42,1,203.324,1784178109561563.464	,1784178109561766.788	
0,N/A,KERNEL_AICPU,43,2,254.945,1784178109561576.084	,1784178109561831.029	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,140.502,1784178109561674.646	,1784178109561815.149	
0,N/A,EVENT_RECORD,46,2,0.020,1784178109562050.753	,1784178109562050.773	
0,N/A,EVENT_WAIT,43,3,0.020,1784178109562051.733	,1784178109562051.753	
0,N/A,EVENT_WAIT,42,2,0.020,1784178109562057.894	,1784178109562057.914	
0,N/A,KERNEL_AICPU,42,3,86.381,1784178109562064.434	,1784178109562150.815	
0,N/A,KERNEL_AICPU,43,4,118.502,1784178109562074.394	,1784178109562192.896	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,106.202,1784178109562081.754	,1784178109562187.956	
0,N/A,EVENT_WAIT,43,5,3.360,1784178109562285.238	,1784178109562288.598	
0,N/A,EVENT_RECORD,46,4,0.020,1784178109562288.138	,1784178109562288.158	
0,N/A,EVENT_WAIT,42,4,0.020,1784178109562292.338	,1784178109562292.358	
0,N/A,KERNEL_AICPU,42,5,122.362,1784178109562298.918	,1784178109562421.281	
0,N/A,KERNEL_AICPU,43,6,150.643,1784178109562315.779	,1784178109562466.422	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,137.942,1784178109562320.079	,1784178109562458.022	
0,N/A,EVENT_WAIT,43,7,5.760,1784178109562473.702	,1784178109562479.462	
0,N/A,EVENT_RECORD,46,6,0.020,1784178109562479.002	,1784178109562479.022	
0,N/A,EVENT_WAIT,42,6,0.020,1784178109562484.542	,1784178109562484.562	
0,N/A,KERNEL_AICPU,42,7,52.061,1784178109562494.382	,1784178109562546.443	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,84.861,1784178109562502.923	,1784178109562587.784	
0,N/A,KERNEL_AICPU,43,8,86.501,1784178109562508.603	,1784178109562595.104	
0,N/A,EVENT_WAIT,43,9,6.080,1784178109562635.985	,1784178109562642.065	
