Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,50.22,100,0.502,0.43,1.31,0.01
host,acl,aclmdlRICaptureThreadExchangeMode,3.01,2,1.505,1.47,1.54,0.001
host,acl,aclrtCreateEventExWithFlag,9.04,1,9.04,9.04,9.04,0
host,acl,aclrtCreateStreamWithConfig,1875,2,937.5,724.76,1150.24,45258.308
host,acl,aclrtCtxSetSysParamOpt,1.63,1,1.63,1.63,1.63,0
host,acl,aclrtDestroyStreamForce,4282.08,1,4282.08,4282.08,4282.08,0
host,acl,aclrtGetCurrentContext,1.14,1,1.14,1.14,1.14,0
host,acl,aclrtGetStreamResLimit,102.28,204,0.501,0.29,1.97,0.054
host,acl,aclrtMemcpy,60.09,1,60.09,60.09,60.09,0
host,acl,aclrtRecordEvent,1849.96,100,18.5,6.89,469.99,2853.731
host,acl,aclrtResetDevice,3.21,1,3.21,3.21,3.21,0
host,acl,aclrtSetDevice,45.27,1,45.27,45.27,45.27,0
host,acl,aclrtSetOpExecuteTimeOutV2,1260.92,1,1260.92,1260.92,1260.92,0
host,acl,aclrtSetStreamFailureMode,4.66,2,2.33,1.95,2.71,0.144
host,acl,aclrtStreamWaitEvent,886.83,200,4.434,0.92,13.34,2.168
host,acl,aclrtSynchronizeDeviceWithTimeout,36.44,3,12.147,8.09,18.86,22.861
host,acl,aclrtSynchronizeStream,4.68,1,4.68,4.68,4.68,0
host,node,launch,2466.72,300,8.222,3,211.79,157.432
