Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784178032418869.582	,1784178032418869.602	
0,N/A,TASK_TIMEOUT_SET,49,4,170.003,1784178032425636.278	,1784178032425806.281	
0,N/A,KERNEL_AICPU,43,0,3222.344,1784178034148747.365	,1784178034151969.710	
0,N/A,EVENT_RECORD,46,0,0.020,1784178034152578.242	,1784178034152578.262	
0,N/A,EVENT_WAIT,43,1,0.000,1784178034152582.362	,1784178034152582.362	
0,N/A,EVENT_WAIT,42,0,0.020,1784178034152585.902	,1784178034152585.922	
0,N/A,KERNEL_AICPU,42,1,187.603,1784178034152592.482	,1784178034152780.086	
0,N/A,KERNEL_AICPU,43,2,223.664,1784178034152610.543	,1784178034152834.207	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,55.341,1784178034152760.666	,1784178034152816.007	
0,N/A,EVENT_RECORD,46,2,0.020,1784178034153160.834	,1784178034153160.854	
0,N/A,EVENT_WAIT,43,3,0.020,1784178034153162.934	,1784178034153162.954	
0,N/A,EVENT_WAIT,42,2,0.020,1784178034153168.134	,1784178034153168.154	
0,N/A,KERNEL_AICPU,42,3,73.241,1784178034153176.294	,1784178034153249.535	
0,N/A,KERNEL_AICPU,43,4,92.301,1784178034153187.454	,1784178034153279.756	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,79.121,1784178034153195.554	,1784178034153274.676	
0,N/A,EVENT_WAIT,43,5,3.940,1784178034153381.778	,1784178034153385.718	
0,N/A,EVENT_RECORD,46,4,0.020,1784178034153385.278	,1784178034153385.298	
0,N/A,EVENT_WAIT,42,4,0.020,1784178034153388.958	,1784178034153388.978	
0,N/A,KERNEL_AICPU,42,5,85.261,1784178034153395.518	,1784178034153480.780	
0,N/A,KERNEL_AICPU,43,6,111.342,1784178034153398.398	,1784178034153509.741	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,91.641,1784178034153409.639	,1784178034153501.280	
0,N/A,EVENT_WAIT,43,7,2.740,1784178034153567.742	,1784178034153570.482	
0,N/A,EVENT_RECORD,46,6,0.000,1784178034153570.042	,1784178034153570.042	
0,N/A,EVENT_WAIT,42,6,0.020,1784178034153575.002	,1784178034153575.022	
0,N/A,KERNEL_AICPU,42,7,49.980,1784178034153581.542	,1784178034153631.523	
0,N/A,KERNEL_AICPU,43,8,80.541,1784178034153582.902	,1784178034153663.444	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,60.881,1784178034153595.562	,1784178034153656.443	
0,N/A,EVENT_RECORD,46,8,0.020,1784178034153726.865	,1784178034153726.885	
0,N/A,EVENT_WAIT,43,9,0.020,1784178034153734.085	,1784178034153734.105	
0,N/A,EVENT_WAIT,42,8,0.000,1784178034153736.165	,1784178034153736.165	
0,N/A,KERNEL_AICPU,42,9,34.360,1784178034153742.685	,1784178034153777.046	
0,N/A,KERNEL_AICPU,43,10,72.441,1784178034153746.705	,1784178034153819.147	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,60.621,1784178034153754.985	,1784178034153815.607	
0,N/A,EVENT_WAIT,43,11,2.980,1784178034153885.368	,1784178034153888.348	
0,N/A,EVENT_RECORD,46,10,0.020,1784178034153887.888	,1784178034153887.908	
0,N/A,EVENT_WAIT,42,10,0.000,1784178034153892.448	,1784178034153892.448	
0,N/A,KERNEL_AICPU,42,11,53.881,1784178034153898.908	,1784178034153952.789	
0,N/A,KERNEL_AICPU,43,12,79.921,1784178034153900.648	,1784178034153980.570	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,61.301,1784178034153912.709	,1784178034153974.010	
0,N/A,EVENT_WAIT,43,13,2.800,1784178034154033.151	,1784178034154035.951	
0,N/A,EVENT_RECORD,46,12,0.020,1784178034154035.491	,1784178034154035.511	
0,N/A,EVENT_WAIT,42,12,0.020,1784178034154040.311	,1784178034154040.331	
0,N/A,KERNEL_AICPU,42,13,47.220,1784178034154046.771	,1784178034154093.992	
