Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784178132723480.983	,1784178132723481.003	
0,N/A,TASK_TIMEOUT_SET,49,4,172.303,1784178132729423.882	,1784178132729596.185	
0,N/A,KERNEL_AICPU,43,0,3698.693,1784178134499954.337	,1784178134503653.031	
0,N/A,EVENT_RECORD,46,0,0.020,1784178134503890.416	,1784178134503890.436	
0,N/A,EVENT_WAIT,43,1,0.020,1784178134503893.416	,1784178134503893.436	
0,N/A,EVENT_WAIT,42,0,0.020,1784178134503898.116	,1784178134503898.136	
0,N/A,KERNEL_AICPU,42,1,231.824,1784178134503906.956	,1784178134504138.780	
0,N/A,KERNEL_AICPU,43,2,280.405,1784178134503936.276	,1784178134504216.682	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,162.523,1784178134504038.098	,1784178134504200.622	
0,N/A,EVENT_RECORD,46,2,0.020,1784178134504421.206	,1784178134504421.226	
0,N/A,EVENT_WAIT,43,3,0.000,1784178134504422.506	,1784178134504422.506	
0,N/A,EVENT_WAIT,42,2,0.000,1784178134504428.446	,1784178134504428.446	
0,N/A,KERNEL_AICPU,42,3,96.861,1784178134504435.186	,1784178134504532.048	
0,N/A,KERNEL_AICPU,43,4,143.282,1784178134504443.927	,1784178134504587.209	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,132.522,1784178134504448.867	,1784178134504581.389	
0,N/A,EVENT_WAIT,43,5,3.680,1784178134504612.030	,1784178134504615.710	
0,N/A,EVENT_RECORD,46,4,0.020,1784178134504615.250	,1784178134504615.270	
0,N/A,EVENT_WAIT,42,4,0.000,1784178134504619.190	,1784178134504619.190	
0,N/A,KERNEL_AICPU,42,5,93.741,1784178134504625.830	,1784178134504719.572	
0,N/A,KERNEL_AICPU,43,6,149.883,1784178134504628.510	,1784178134504778.393	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,130.062,1784178134504640.110	,1784178134504770.173	
0,N/A,EVENT_WAIT,43,7,2.320,1784178134504784.453	,1784178134504786.773	
0,N/A,EVENT_RECORD,46,6,0.020,1784178134504786.313	,1784178134504786.333	
0,N/A,EVENT_WAIT,42,6,0.020,1784178134504791.654	,1784178134504791.674	
0,N/A,KERNEL_AICPU,42,7,67.581,1784178134504798.154	,1784178134504865.735	
0,N/A,KERNEL_AICPU,43,8,129.982,1784178134504799.314	,1784178134504929.296	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,110.322,1784178134504812.254	,1784178134504922.576	
0,N/A,EVENT_WAIT,43,9,2.500,1784178134504932.596	,1784178134504935.096	
0,N/A,EVENT_RECORD,46,8,0.020,1784178134504934.636	,1784178134504934.656	
0,N/A,EVENT_WAIT,42,8,0.020,1784178134504939.596	,1784178134504939.616	
0,N/A,KERNEL_AICPU,42,9,63.101,1784178134504946.037	,1784178134505009.138	
0,N/A,KERNEL_AICPU,43,10,115.522,1784178134504947.717	,1784178134505063.239	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,100.082,1784178134504959.697	,1784178134505059.779	
