Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclmdlRICaptureGetInfo,45.58,100,0.456,0.39,1.43,0.015
host,acl,aclmdlRICaptureThreadExchangeMode,3.32,2,1.66,1.54,1.78,0.014
host,acl,aclrtCreateEventExWithFlag,9.2,1,9.2,9.2,9.2,0
host,acl,aclrtCreateStreamWithConfig,2040.51,2,1020.255,761.21,1279.3,67104.312
host,acl,aclrtCtxSetSysParamOpt,1.54,1,1.54,1.54,1.54,0
host,acl,aclrtDestroyStreamForce,2155.7,1,2155.7,2155.7,2155.7,0
host,acl,aclrtGetCurrentContext,1.54,1,1.54,1.54,1.54,0
host,acl,aclrtGetStreamResLimit,91.87,204,0.45,0.28,1.89,0.034
host,acl,aclrtMemcpy,87.03,1,87.03,87.03,87.03,0
host,acl,aclrtRecordEvent,1523.9,100,15.239,6.46,197.05,1007.955
host,acl,aclrtResetDevice,3.32,1,3.32,3.32,3.32,0
host,acl,aclrtSetDevice,70.51,1,70.51,70.51,70.51,0
host,acl,aclrtSetOpExecuteTimeOutV2,1236.51,1,1236.51,1236.51,1236.51,0
host,acl,aclrtSetStreamFailureMode,4.87,2,2.435,2.11,2.76,0.106
host,acl,aclrtStreamWaitEvent,851.56,200,4.258,0.86,13.06,2.444
host,acl,aclrtSynchronizeDeviceWithTimeout,51.07,3,17.023,7.91,34.06,145.36
host,acl,aclrtSynchronizeStream,4.69,1,4.69,4.69,4.69,0
host,node,launch,2409.49,300,8.032,2.78,169.14,106.19
