Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784178058167131.168	,1784178058167131.188	
0,N/A,TASK_TIMEOUT_SET,49,4,148.822,1784178058172964.984	,1784178058173113.807	
0,N/A,KERNEL_AICPU,43,0,3545.510,1784178059911096.332	,1784178059914641.843	
0,N/A,EVENT_WAIT,42,0,16.360,1784178059914888.328	,1784178059914904.688	
0,N/A,EVENT_RECORD,46,0,0.020,1784178059914904.248	,1784178059914904.268	
0,N/A,KERNEL_AICPU,42,1,206.264,1784178059914904.788	,1784178059915111.052	
0,N/A,EVENT_WAIT,43,1,0.000,1784178059914911.568	,1784178059914911.568	
0,N/A,KERNEL_AICPU,43,2,238.084,1784178059914918.229	,1784178059915156.313	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,118.422,1784178059915022.171	,1784178059915140.593	
0,N/A,EVENT_WAIT,43,3,0.560,1784178059915426.279	,1784178059915426.839	
0,N/A,EVENT_RECORD,46,2,0.020,1784178059915426.399	,1784178059915426.419	
0,N/A,EVENT_WAIT,42,2,0.000,1784178059915433.279	,1784178059915433.279	
0,N/A,KERNEL_AICPU,42,3,70.401,1784178059915440.599	,1784178059915511.000	
0,N/A,KERNEL_AICPU,43,4,100.482,1784178059915440.719	,1784178059915541.201	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,82.501,1784178059915454.279	,1784178059915536.781	
0,N/A,EVENT_WAIT,43,5,3.920,1784178059915633.463	,1784178059915637.383	
0,N/A,EVENT_RECORD,46,4,0.020,1784178059915636.943	,1784178059915636.963	
0,N/A,EVENT_WAIT,42,4,0.000,1784178059915641.023	,1784178059915641.023	
0,N/A,KERNEL_AICPU,42,5,81.441,1784178059915647.583	,1784178059915729.025	
0,N/A,KERNEL_AICPU,43,6,101.942,1784178059915655.143	,1784178059915757.085	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,88.441,1784178059915661.843	,1784178059915750.285	
0,N/A,EVENT_WAIT,43,7,4.520,1784178059915822.347	,1784178059915826.867	
0,N/A,EVENT_RECORD,46,6,0.020,1784178059915826.427	,1784178059915826.447	
0,N/A,EVENT_WAIT,42,6,0.020,1784178059915829.667	,1784178059915829.687	
0,N/A,KERNEL_AICPU,42,7,43.280,1784178059915836.187	,1784178059915879.468	
0,N/A,KERNEL_AICPU,43,8,73.861,1784178059915839.867	,1784178059915913.729	
