Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784178157607661.512	,1784178157607661.532	
0,N/A,TASK_TIMEOUT_SET,49,4,147.022,1784178157614018.499	,1784178157614165.522	
0,N/A,KERNEL_AICPU,43,0,2978.079,1784178159444401.310	,1784178159447379.389	
0,N/A,EVENT_WAIT,43,1,6.360,1784178159447623.374	,1784178159447629.734	
0,N/A,EVENT_RECORD,46,0,0.020,1784178159447629.294	,1784178159447629.314	
0,N/A,EVENT_WAIT,42,0,0.020,1784178159447630.754	,1784178159447630.774	
0,N/A,KERNEL_AICPU,42,1,245.064,1784178159447637.394	,1784178159447882.459	
0,N/A,KERNEL_AICPU,43,2,343.246,1784178159447648.835	,1784178159447992.081	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,229.584,1784178159447745.836	,1784178159447975.421	
0,N/A,EVENT_WAIT,43,3,2.740,1784178159448109.704	,1784178159448112.444	
0,N/A,EVENT_RECORD,46,2,0.020,1784178159448112.004	,1784178159448112.024	
0,N/A,EVENT_WAIT,42,2,0.020,1784178159448116.864	,1784178159448116.884	
0,N/A,KERNEL_AICPU,42,3,104.282,1784178159448123.664	,1784178159448227.946	
0,N/A,KERNEL_AICPU,43,4,174.323,1784178159448135.684	,1784178159448310.008	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,162.023,1784178159448143.964	,1784178159448305.988	
0,N/A,EVENT_WAIT,42,4,16.640,1784178159448290.987	,1784178159448307.628	
0,N/A,EVENT_RECORD,46,4,0.020,1784178159448307.168	,1784178159448307.188	
0,N/A,KERNEL_AICPU,42,5,122.182,1784178159448307.728	,1784178159448429.910	
0,N/A,EVENT_WAIT,43,5,0.000,1784178159448310.028	,1784178159448310.028	
0,N/A,KERNEL_AICPU,43,6,205.804,1784178159448310.068	,1784178159448515.872	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,195.043,1784178159448311.428	,1784178159448506.472	
0,N/A,EVENT_WAIT,42,6,27.300,1784178159448480.511	,1784178159448507.812	
0,N/A,EVENT_RECORD,46,6,0.020,1784178159448507.192	,1784178159448507.212	
0,N/A,KERNEL_AICPU,42,7,77.301,1784178159448507.912	,1784178159448585.213	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,155.383,1784178159448509.052	,1784178159448664.435	
0,N/A,EVENT_WAIT,43,7,0.020,1784178159448515.892	,1784178159448515.912	
0,N/A,KERNEL_AICPU,43,8,155.523,1784178159448515.932	,1784178159448671.455	
0,N/A,EVENT_WAIT,42,8,35.580,1784178159448630.434	,1784178159448666.015	
0,N/A,EVENT_RECORD,46,8,0.020,1784178159448665.555	,1784178159448665.575	
0,N/A,KERNEL_AICPU,42,9,62.301,1784178159448666.115	,1784178159448728.416	
