Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784178082863412.421	,1784178082863412.441	
0,N/A,TASK_TIMEOUT_SET,49,4,175.483,1784178082869879.191	,1784178082870054.674	
0,N/A,KERNEL_AICPU,43,0,3125.322,1784178084633828.074	,1784178084636953.397	
0,N/A,EVENT_RECORD,46,0,0.020,1784178084637196.622	,1784178084637196.642	
0,N/A,EVENT_WAIT,42,0,0.020,1784178084637204.222	,1784178084637204.242	
0,N/A,EVENT_WAIT,43,1,0.020,1784178084637205.502	,1784178084637205.522	
0,N/A,KERNEL_AICPU,42,1,203.944,1784178084637210.782	,1784178084637414.726	
0,N/A,KERNEL_AICPU,43,2,246.324,1784178084637219.122	,1784178084637465.447	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,1,121.942,1784178084637327.524	,1784178084637449.467	
0,N/A,EVENT_RECORD,46,2,0.020,1784178084637714.272	,1784178084637714.292	
0,N/A,EVENT_WAIT,43,3,0.000,1784178084637716.032	,1784178084637716.032	
0,N/A,EVENT_WAIT,42,2,0.000,1784178084637721.652	,1784178084637721.652	
0,N/A,KERNEL_AICPU,42,3,82.401,1784178084637728.312	,1784178084637810.714	
0,N/A,KERNEL_AICPU,43,4,107.042,1784178084637739.893	,1784178084637846.935	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,3,91.321,1784178084637750.353	,1784178084637841.675	
0,N/A,EVENT_WAIT,43,5,3.680,1784178084637937.276	,1784178084637940.957	
0,N/A,EVENT_RECORD,46,4,0.020,1784178084637940.497	,1784178084637940.517	
0,N/A,EVENT_WAIT,42,4,0.020,1784178084637944.517	,1784178084637944.537	
0,N/A,KERNEL_AICPU,42,5,87.641,1784178084637951.017	,1784178084638038.659	
0,N/A,KERNEL_AICPU,43,6,117.582,1784178084637953.477	,1784178084638071.059	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,5,98.801,1784178084637965.217	,1784178084638064.019	
0,N/A,EVENT_RECORD,46,6,0.020,1784178084638204.642	,1784178084638204.662	
0,N/A,EVENT_WAIT,43,7,0.020,1784178084638212.242	,1784178084638212.262	
0,N/A,EVENT_WAIT,42,6,0.000,1784178084638215.802	,1784178084638215.802	
0,N/A,KERNEL_AICPU,42,7,55.001,1784178084638222.442	,1784178084638277.443	
0,N/A,KERNEL_AICPU,43,8,84.281,1784178084638225.742	,1784178084638310.024	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,7,67.441,1784178084638236.162	,1784178084638303.604	
0,N/A,EVENT_WAIT,43,9,2.640,1784178084638391.026	,1784178084638393.666	
0,N/A,EVENT_RECORD,46,8,0.020,1784178084638393.206	,1784178084638393.226	
0,N/A,EVENT_WAIT,42,8,0.020,1784178084638398.526	,1784178084638398.546	
0,N/A,KERNEL_AICPU,42,9,45.160,1784178084638405.206	,1784178084638450.367	
0,N/A,KERNEL_AICPU,43,10,81.141,1784178084638406.046	,1784178084638487.187	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,9,64.701,1784178084638419.006	,1784178084638483.707	
0,N/A,EVENT_WAIT,43,11,2.700,1784178084638546.469	,1784178084638549.169	
0,N/A,EVENT_RECORD,46,10,0.000,1784178084638548.729	,1784178084638548.729	
0,N/A,EVENT_WAIT,42,10,0.000,1784178084638553.629	,1784178084638553.629	
0,N/A,KERNEL_AICPU,42,11,57.421,1784178084638560.049	,1784178084638617.470	
0,N/A,KERNEL_AICPU,43,12,87.041,1784178084638561.489	,1784178084638648.531	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,11,70.201,1784178084638573.769	,1784178084638643.971	
0,N/A,EVENT_WAIT,43,13,2.440,1784178084638700.972	,1784178084638703.412	
0,N/A,EVENT_RECORD,46,12,0.000,1784178084638702.952	,1784178084638702.952	
0,N/A,EVENT_WAIT,42,12,0.020,1784178084638708.132	,1784178084638708.152	
0,N/A,KERNEL_AICPU,42,13,52.741,1784178084638714.492	,1784178084638767.233	
0,N/A,KERNEL_AICPU,43,14,85.541,1784178084638715.712	,1784178084638801.254	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,13,66.581,1784178084638728.072	,1784178084638794.654	
0,N/A,EVENT_WAIT,43,15,3.380,1784178084638867.735	,1784178084638871.115	
0,N/A,EVENT_RECORD,46,14,0.020,1784178084638870.475	,1784178084638870.495	
0,N/A,EVENT_WAIT,42,14,0.000,1784178084638874.735	,1784178084638874.735	
0,N/A,KERNEL_AICPU,42,15,40.380,1784178084638881.215	,1784178084638921.596	
0,N/A,KERNEL_AICPU,43,16,70.401,1784178084638883.595	,1784178084638953.997	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,15,55.681,1784178084638894.856	,1784178084638950.537	
0,N/A,EVENT_RECORD,46,16,0.020,1784178084639014.058	,1784178084639014.078	
0,N/A,EVENT_WAIT,43,17,0.020,1784178084639015.798	,1784178084639015.818	
0,N/A,EVENT_WAIT,42,16,0.000,1784178084639021.238	,1784178084639021.238	
0,N/A,KERNEL_AICPU,42,17,51.361,1784178084639027.618	,1784178084639078.979	
0,N/A,KERNEL_AICPU,43,18,72.101,1784178084639038.098	,1784178084639110.200	
0,tilefwk_0_mix_aic,KERNEL_MIX_AIC,46,17,63.141,1784178084639041.179	,1784178084639104.320	
0,N/A,EVENT_WAIT,43,19,2.840,1784178084639186.381	,1784178084639189.221	
0,N/A,EVENT_RECORD,46,18,0.020,1784178084639188.761	,1784178084639188.781	
0,N/A,EVENT_WAIT,42,18,0.000,1784178084639193.542	,1784178084639193.542	
0,N/A,KERNEL_AICPU,42,19,51.441,1784178084639200.002	,1784178084639251.443	
0,N/A,KERNEL_AICPU,43,20,83.761,1784178084639201.462	,1784178084639285.223	
