Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Relu_Tiling,19.82,1,19.82,19.82,19.82,0
host,acl,aclmdlRICaptureGetInfo,2.28,4,0.57,0.3,1.24,0.151
host,acl,aclnnRelu,4564.49,700,6.521,3.83,896.75,1135.143
host,acl,aclnnReluGetWorkspaceSize,79182.16,1,79182.16,79182.16,79182.16,0
host,acl,aclrtBinaryLoadFromData,55.42,1,55.42,55.42,55.42,0
host,acl,aclrtCreateEventExWithFlag,29.52,10,2.952,1.7,8.87,4.368
host,acl,aclrtCreateStreamWithConfig,1897.76,2,948.88,754.25,1143.51,37880.837
host,acl,aclrtCtxGetSysParamOpt,10.45,8,1.306,0.5,4.09,1.741
host,acl,aclrtCtxSetSysParamOpt,1.37,1,1.37,1.37,1.37,0
host,acl,aclrtDestroyEvent,15.2,10,1.52,0.96,3.22,0.411
host,acl,aclrtDestroyStreamForce,1676.97,1,1676.97,1676.97,1676.97,0
host,acl,aclrtFree,9.6,1,9.6,9.6,9.6,0
host,acl,aclrtGetCurrentContext,1.19,1,1.19,1.19,1.19,0
host,acl,aclrtGetDeviceCount,2.97,4,0.742,0.32,1.25,0.149
host,acl,aclrtGetResInCurrentThread,2.39,2,1.195,0.32,2.07,0.766
host,acl,aclrtGetStreamAttribute,267.38,700,0.382,0.32,2.2,0.006
host,acl,aclrtLaunchKernelWithHostArgs,2080.33,700,2.972,2.01,21.02,1.507
host,acl,aclrtMemcpy,42.27,1,42.27,42.27,42.27,0
host,acl,aclrtRecordEvent,142.04,10,14.204,5.96,82.32,515.804
host,acl,aclrtResetDevice,3.25,1,3.25,3.25,3.25,0
host,acl,aclrtSetDevice,39.45,1,39.45,39.45,39.45,0
host,acl,aclrtSetOpExecuteTimeOutV2,1170.23,1,1170.23,1170.23,1170.23,0
host,acl,aclrtSetStreamFailureMode,4.1,2,2.05,1.78,2.32,0.073
host,acl,aclrtSynchronizeDeviceWithTimeout,33.57,3,11.19,8.14,14.9,7.834
host,acl,aclrtSynchronizeEvent,150.57,15,10.038,0.4,32.56,183.282
host,acl,aclrtSynchronizeStream,4.64,1,4.64,4.64,4.64,0
host,node,launch,2785.94,700,3.98,2.63,219.84,67.783
