Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Relu_Tiling,19.73,1,19.73,19.73,19.73,0
host,acl,aclmdlRICaptureGetInfo,2.28,4,0.57,0.29,1.18,0.126
host,acl,aclnnRelu,4930.38,700,7.043,4.59,901.97,1147.998
host,acl,aclnnReluGetWorkspaceSize,78847.37,1,78847.37,78847.37,78847.37,0
host,acl,aclrtBinaryLoadFromData,57.54,1,57.54,57.54,57.54,0
host,acl,aclrtCreateEventExWithFlag,110.47,10,11.047,1.97,78.12,504.949
host,acl,aclrtCreateStreamWithConfig,1904.01,2,952.005,765.22,1138.79,34888.636
host,acl,aclrtCtxGetSysParamOpt,10.55,8,1.319,0.51,4.12,1.664
host,acl,aclrtCtxSetSysParamOpt,5.86,1,5.86,5.86,5.86,0
host,acl,aclrtDestroyEvent,68.1,10,6.81,1.08,54.09,248.596
host,acl,aclrtDestroyStreamForce,1962.96,1,1962.96,1962.96,1962.96,0
host,acl,aclrtFree,8.84,1,8.84,8.84,8.84,0
host,acl,aclrtGetCurrentContext,1.16,1,1.16,1.16,1.16,0
host,acl,aclrtGetDeviceCount,4.11,4,1.027,0.3,1.95,0.475
host,acl,aclrtGetResInCurrentThread,2.33,2,1.165,0.31,2.02,0.731
host,acl,aclrtGetStreamAttribute,287.25,700,0.41,0.35,1.87,0.004
host,acl,aclrtLaunchKernelWithHostArgs,2299.89,700,3.286,2.4,21.23,1.35
host,acl,aclrtMemcpy,957.4,1,957.4,957.4,957.4,0
host,acl,aclrtRecordEvent,139.22,10,13.922,5.74,79.24,474.346
host,acl,aclrtResetDevice,3.47,1,3.47,3.47,3.47,0
host,acl,aclrtSetDevice,65.15,1,65.15,65.15,65.15,0
host,acl,aclrtSetOpExecuteTimeOutV2,1173.41,1,1173.41,1173.41,1173.41,0
host,acl,aclrtSetStreamFailureMode,4.44,2,2.22,2.02,2.42,0.04
host,acl,aclrtSynchronizeDeviceWithTimeout,59.45,3,19.817,9.03,37.39,157.078
host,acl,aclrtSynchronizeEvent,176.52,15,11.768,0.46,42.08,254.521
host,acl,aclrtSynchronizeStream,5.16,1,5.16,5.16,5.16,0
host,node,launch,3058.32,700,4.369,3.12,210.16,62.602
