Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177945718332.468	,1784177945718332.488	
0,N/A,TASK_TIMEOUT_SET,49,4,81.241,1784177945727265.326	,1784177945727346.568	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,0,11.100,1784177945815289.385	,1784177945815300.485	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,1,3.400,1784177945815472.949	,1784177945815476.349	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,2,3.400,1784177945815533.050	,1784177945815536.450	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,3,3.560,1784177945815539.750	,1784177945815543.310	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,4,3.400,1784177945815546.430	,1784177945815549.830	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,5,3.380,1784177945815552.990	,1784177945815556.370	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,6,3.600,1784177945815569.071	,1784177945815572.671	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,7,3.580,1784177945815575.591	,1784177945815579.171	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,8,3.400,1784177945815582.131	,1784177945815585.531	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,9,3.580,1784177945815588.731	,1784177945815592.311	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,10,3.580,1784177945815595.231	,1784177945815598.811	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,11,3.560,1784177945815609.891	,1784177945815613.451	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,12,3.440,1784177945815616.352	,1784177945815619.792	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,13,3.400,1784177945815622.912	,1784177945815626.312	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,14,3.600,1784177945815629.372	,1784177945815632.972	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,15,3.600,1784177945815635.832	,1784177945815639.432	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,16,3.520,1784177945815649.732	,1784177945815653.252	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,17,3.540,1784177945815656.052	,1784177945815659.592	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,18,3.700,1784177945815662.452	,1784177945815666.153	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,19,3.580,1784177945815668.753	,1784177945815672.333	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,20,3.500,1784177945815675.153	,1784177945815678.653	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,21,3.540,1784177945815688.813	,1784177945815692.353	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,22,3.680,1784177945815695.373	,1784177945815699.053	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,23,3.740,1784177945815701.733	,1784177945815705.473	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,24,3.800,1784177945815708.093	,1784177945815711.893	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,25,3.580,1784177945815714.353	,1784177945815717.934	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,26,3.780,1784177945815727.914	,1784177945815731.694	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,27,3.720,1784177945815734.294	,1784177945815738.014	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,28,3.620,1784177945815740.634	,1784177945815744.254	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,29,3.600,1784177945815746.934	,1784177945815750.534	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,30,3.720,1784177945815753.274	,1784177945815756.994	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,31,3.800,1784177945815766.755	,1784177945815770.555	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,32,3.780,1784177945815773.355	,1784177945815777.135	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,33,3.380,1784177945815780.015	,1784177945815783.395	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,34,3.580,1784177945815786.575	,1784177945815790.155	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,35,3.580,1784177945815793.155	,1784177945815796.735	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,36,3.580,1784177945815806.935	,1784177945815810.515	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,37,3.400,1784177945815813.475	,1784177945815816.876	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,38,3.580,1784177945815820.176	,1784177945815823.756	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,39,3.560,1784177945815826.696	,1784177945815830.256	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,40,3.380,1784177945815833.216	,1784177945815836.596	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,41,3.340,1784177945815846.936	,1784177945815850.276	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,42,3.600,1784177945815853.476	,1784177945815857.076	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,43,3.600,1784177945815860.076	,1784177945815863.676	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,44,3.400,1784177945815866.577	,1784177945815869.977	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,45,3.400,1784177945815873.197	,1784177945815876.597	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,46,3.640,1784177945815886.937	,1784177945815890.577	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,47,3.640,1784177945815893.597	,1784177945815897.237	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,48,3.500,1784177945815899.877	,1784177945815903.377	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,49,3.540,1784177945815906.417	,1784177945815909.957	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,50,3.700,1784177945815913.017	,1784177945815916.718	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,51,3.740,1784177945815926.498	,1784177945815930.238	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,52,3.540,1784177945815932.938	,1784177945815936.478	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,53,3.740,1784177945815939.298	,1784177945815943.038	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,54,3.700,1784177945815945.798	,1784177945815949.498	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,55,3.720,1784177945815952.318	,1784177945815956.038	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,56,3.560,1784177945815965.759	,1784177945815969.319	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,57,3.560,1784177945815972.139	,1784177945815975.699	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,58,3.780,1784177945815978.539	,1784177945815982.319	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,59,3.780,1784177945815984.919	,1784177945815988.699	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210010000,KERNEL_AIVEC,46,60,3.560,1784177945815991.259	,1784177945815994.819	
