Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Relu_Tiling,20.68,1,20.68,20.68,20.68,0
host,acl,aclmdlRICaptureGetInfo,2.11,4,0.528,0.31,1.08,0.102
host,acl,aclnnRelu,8378.1,700,11.969,4.73,986.6,1375.025
host,acl,aclnnReluGetWorkspaceSize,78969.19,1,78969.19,78969.19,78969.19,0
host,acl,aclrtBinaryLoadFromData,59.22,1,59.22,59.22,59.22,0
host,acl,aclrtCreateEventExWithFlag,29.12,10,2.912,1.61,8.84,4.426
host,acl,aclrtCreateStreamWithConfig,1779.17,2,889.585,717.52,1061.65,29606.364
host,acl,aclrtCtxGetSysParamOpt,10.83,8,1.354,0.52,4.51,2.012
host,acl,aclrtCtxSetSysParamOpt,1.73,1,1.73,1.73,1.73,0
host,acl,aclrtDestroyEvent,15.48,10,1.548,1.08,2.84,0.254
host,acl,aclrtDestroyStreamForce,2280.82,1,2280.82,2280.82,2280.82,0
host,acl,aclrtFree,8.75,1,8.75,8.75,8.75,0
host,acl,aclrtGetCurrentContext,1.19,1,1.19,1.19,1.19,0
host,acl,aclrtGetDeviceCount,3.09,4,0.773,0.34,1.19,0.132
host,acl,aclrtGetResInCurrentThread,2.4,2,1.2,0.31,2.09,0.792
host,acl,aclrtGetStreamAttribute,302.85,700,0.433,0.34,2.67,0.008
host,acl,aclrtLaunchKernelWithHostArgs,3129.55,700,4.471,2.59,48.35,5.743
host,acl,aclrtMemcpy,53.71,1,53.71,53.71,53.71,0
host,acl,aclrtRecordEvent,148.49,10,14.849,5.73,87.9,593.311
host,acl,aclrtResetDevice,3.44,1,3.44,3.44,3.44,0
host,acl,aclrtSetDevice,44.79,1,44.79,44.79,44.79,0
host,acl,aclrtSetOpExecuteTimeOutV2,1193.39,1,1193.39,1193.39,1193.39,0
host,acl,aclrtSetStreamFailureMode,4.41,2,2.205,1.92,2.49,0.081
host,acl,aclrtSynchronizeDeviceWithTimeout,48.14,3,16.047,10.62,19.68,15.289
host,acl,aclrtSynchronizeEvent,167.04,15,11.136,0.47,37.46,226.429
host,acl,aclrtSynchronizeStream,4.59,1,4.59,4.59,4.59,0
host,node,launch,3878.03,700,5.54,3.33,234.95,80.746
