Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1784177909701733.363	,1784177909701733.363	
0,N/A,TASK_TIMEOUT_SET,49,4,96.781,1784177909710003.528	,1784177909710100.310	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,0,9.540,1784177909797224.851	,1784177909797234.391	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,1,2.860,1784177909797430.935	,1784177909797433.795	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,2,2.880,1784177909797510.836	,1784177909797513.716	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,3,2.680,1784177909797527.357	,1784177909797530.037	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,4,2.900,1784177909797542.397	,1784177909797545.297	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,5,2.860,1784177909797557.457	,1784177909797560.317	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,6,2.680,1784177909797571.997	,1784177909797574.678	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,7,2.660,1784177909797586.218	,1784177909797588.878	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,8,2.820,1784177909797600.538	,1784177909797603.358	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,9,2.800,1784177909797615.378	,1784177909797618.178	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,10,2.600,1784177909797630.399	,1784177909797632.999	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,11,2.580,1784177909797645.379	,1784177909797647.959	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,12,2.800,1784177909797659.819	,1784177909797662.619	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,13,2.780,1784177909797675.260	,1784177909797678.040	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,14,2.560,1784177909797690.300	,1784177909797692.860	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,15,2.580,1784177909797704.540	,1784177909797707.120	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,16,2.720,1784177909797718.820	,1784177909797721.540	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,17,2.720,1784177909797732.981	,1784177909797735.701	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,18,2.500,1784177909797746.761	,1784177909797749.261	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,19,2.720,1784177909797761.761	,1784177909797764.481	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,20,2.700,1784177909797776.082	,1784177909797778.782	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,21,2.720,1784177909797790.902	,1784177909797793.622	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,22,2.500,1784177909797805.362	,1784177909797807.862	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,23,2.520,1784177909797819.342	,1784177909797821.862	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,24,2.420,1784177909797834.063	,1784177909797836.483	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,25,2.600,1784177909797851.843	,1784177909797854.443	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,26,2.480,1784177909797864.703	,1784177909797867.183	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,27,2.400,1784177909797877.984	,1784177909797880.384	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,28,2.640,1784177909797893.184	,1784177909797895.824	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,29,2.640,1784177909797908.004	,1784177909797910.644	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,30,2.420,1784177909797923.004	,1784177909797925.425	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,31,2.420,1784177909797936.905	,1784177909797939.325	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,32,3.240,1784177909797951.665	,1784177909797954.905	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,33,2.940,1784177909797966.525	,1784177909797969.465	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,34,2.700,1784177909797982.426	,1784177909797985.126	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,35,3.060,1784177909797998.686	,1784177909798001.746	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,36,2.800,1784177909798014.186	,1784177909798016.986	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,37,2.860,1784177909798029.407	,1784177909798032.267	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,38,2.680,1784177909798044.667	,1784177909798047.347	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,39,2.660,1784177909798063.167	,1784177909798065.827	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,40,2.760,1784177909798078.548	,1784177909798081.308	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,41,2.840,1784177909798099.368	,1784177909798102.208	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,42,2.600,1784177909798114.028	,1784177909798116.628	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,43,2.580,1784177909798129.189	,1784177909798131.769	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,44,2.940,1784177909798143.529	,1784177909798146.469	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,45,2.780,1784177909798157.989	,1784177909798160.769	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,46,2.600,1784177909798172.589	,1784177909798175.190	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,47,2.800,1784177909798187.130	,1784177909798189.930	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,48,2.680,1784177909798201.690	,1784177909798204.370	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,49,2.680,1784177909798217.310	,1784177909798219.990	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,50,2.500,1784177909798232.851	,1784177909798235.351	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,51,2.480,1784177909798248.331	,1784177909798250.811	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,52,2.720,1784177909798263.791	,1784177909798266.511	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,53,2.520,1784177909798278.812	,1784177909798281.332	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,54,2.480,1784177909798293.972	,1784177909798296.452	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,55,2.460,1784177909798308.752	,1784177909798311.212	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,56,2.640,1784177909798324.353	,1784177909798326.993	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,57,2.640,1784177909798339.173	,1784177909798341.813	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,58,2.420,1784177909798354.153	,1784177909798356.573	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,59,2.500,1784177909798368.613	,1784177909798371.113	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,60,2.660,1784177909798382.794	,1784177909798385.454	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,61,2.640,1784177909798396.314	,1784177909798398.954	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,62,2.620,1784177909798410.434	,1784177909798413.054	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,63,2.420,1784177909798424.795	,1784177909798427.215	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,64,2.780,1784177909798447.175	,1784177909798449.955	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,65,3.160,1784177909798462.095	,1784177909798465.255	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,66,2.820,1784177909798477.996	,1784177909798480.816	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,67,2.580,1784177909798493.596	,1784177909798496.176	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,68,2.820,1784177909798508.696	,1784177909798511.516	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,69,2.780,1784177909798523.016	,1784177909798525.797	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,70,2.600,1784177909798538.777	,1784177909798541.377	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,71,3.060,1784177909798554.477	,1784177909798557.537	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,72,2.880,1784177909798570.317	,1784177909798573.197	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,73,2.680,1784177909798585.238	,1784177909798587.918	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,74,2.640,1784177909798600.238	,1784177909798602.878	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,75,2.680,1784177909798615.838	,1784177909798618.518	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,76,2.860,1784177909798631.119	,1784177909798633.979	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,77,2.880,1784177909798645.939	,1784177909798648.819	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,78,2.620,1784177909798661.799	,1784177909798664.419	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,79,2.660,1784177909798676.700	,1784177909798679.360	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,80,2.640,1784177909798691.880	,1784177909798694.520	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,81,2.660,1784177909798706.540	,1784177909798709.200	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,82,2.480,1784177909798720.860	,1784177909798723.340	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,83,2.680,1784177909798735.761	,1784177909798738.441	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,84,2.640,1784177909798750.861	,1784177909798753.501	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,85,2.660,1784177909798765.561	,1784177909798768.221	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,86,2.440,1784177909798780.822	,1784177909798783.262	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,87,2.480,1784177909798794.282	,1784177909798796.762	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,88,2.460,1784177909798808.602	,1784177909798811.062	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,89,2.680,1784177909798822.562	,1784177909798825.243	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,90,2.500,1784177909798836.503	,1784177909798839.003	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,91,2.840,1784177909798852.103	,1784177909798854.943	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,92,2.680,1784177909798867.163	,1784177909798869.843	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,93,2.680,1784177909798882.164	,1784177909798884.844	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,94,2.500,1784177909798898.024	,1784177909798900.524	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,95,2.460,1784177909798912.804	,1784177909798915.264	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,96,2.800,1784177909798927.845	,1784177909798930.645	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,97,2.820,1784177909798941.645	,1784177909798944.465	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,98,2.600,1784177909798956.325	,1784177909798958.925	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,99,2.640,1784177909798970.145	,1784177909798972.785	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,100,2.620,1784177909798984.286	,1784177909798986.906	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,101,2.800,1784177909798998.046	,1784177909799000.846	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,102,2.600,1784177909799011.686	,1784177909799014.286	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,103,2.560,1784177909799025.567	,1784177909799028.127	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,104,2.900,1784177909799040.727	,1784177909799043.627	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,105,2.880,1784177909799055.747	,1784177909799058.627	
