Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Relu_Tiling,18.03,1,18.03,18.03,18.03,0
host,acl,aclmdlRICaptureGetInfo,2.15,4,0.538,0.32,1.02,0.079
host,acl,aclnnRelu,5111.65,700,7.302,4.19,846.1,1008.658
host,acl,aclnnReluGetWorkspaceSize,78190.68,1,78190.68,78190.68,78190.68,0
host,acl,aclrtBinaryLoadFromData,50.3,1,50.3,50.3,50.3,0
host,acl,aclrtCreateEventExWithFlag,113.61,10,11.361,1.93,82.34,565.274
host,acl,aclrtCreateStreamWithConfig,1875.34,2,937.67,784.76,1090.58,23381.468
host,acl,aclrtCtxGetSysParamOpt,11.02,8,1.378,0.53,4.28,1.936
host,acl,aclrtCtxSetSysParamOpt,1.7,1,1.7,1.7,1.7,0
host,acl,aclrtDestroyEvent,72.24,10,7.224,1.08,57.14,277.227
host,acl,aclrtDestroyStreamForce,1435.84,1,1435.84,1435.84,1435.84,0
host,acl,aclrtFree,9.59,1,9.59,9.59,9.59,0
host,acl,aclrtGetCurrentContext,1.24,1,1.24,1.24,1.24,0
host,acl,aclrtGetDeviceCount,4.38,4,1.095,0.3,2.34,0.681
host,acl,aclrtGetResInCurrentThread,2.25,2,1.125,0.3,1.95,0.681
host,acl,aclrtGetStreamAttribute,301.35,700,0.43,0.32,12.81,0.227
host,acl,aclrtLaunchKernelWithHostArgs,2565.74,700,3.665,2.25,20.26,1.563
host,acl,aclrtMemcpy,1942.25,1,1942.25,1942.25,1942.25,0
host,acl,aclrtRecordEvent,137.52,10,13.752,5.86,76.47,437.334
host,acl,aclrtResetDevice,3.41,1,3.41,3.41,3.41,0
host,acl,aclrtSetDevice,37.13,1,37.13,37.13,37.13,0
host,acl,aclrtSetOpExecuteTimeOutV2,1192.3,1,1192.3,1192.3,1192.3,0
host,acl,aclrtSetStreamFailureMode,4.28,2,2.14,1.79,2.49,0.123
host,acl,aclrtSynchronizeDeviceWithTimeout,39.22,3,13.073,9.02,16.61,9.735
host,acl,aclrtSynchronizeEvent,184.43,15,12.295,0.44,42.04,274.649
host,acl,aclrtSynchronizeStream,5,1,5,5,5,0
host,node,launch,3320.6,700,4.744,2.9,215.46,65.265
