Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Relu_Tiling,20.03,1,20.03,20.03,20.03,0
host,acl,aclmdlRICaptureGetInfo,2.33,4,0.583,0.33,1.24,0.145
host,acl,aclnnRelu,4812.78,700,6.875,3.94,867.62,1061.148
host,acl,aclnnReluGetWorkspaceSize,78670.23,1,78670.23,78670.23,78670.23,0
host,acl,aclrtBinaryLoadFromData,55.6,1,55.6,55.6,55.6,0
host,acl,aclrtCreateEventExWithFlag,26.6,10,2.66,1.45,8.51,4.074
host,acl,aclrtCreateStreamWithConfig,1870.37,2,935.185,726.91,1143.46,43378.476
host,acl,aclrtCtxGetSysParamOpt,9.99,8,1.249,0.51,3.57,1.328
host,acl,aclrtCtxSetSysParamOpt,1.5,1,1.5,1.5,1.5,0
host,acl,aclrtDestroyEvent,13.18,10,1.318,0.83,2.47,0.204
host,acl,aclrtDestroyStreamForce,1909.25,1,1909.25,1909.25,1909.25,0
host,acl,aclrtFree,8.5,1,8.5,8.5,8.5,0
host,acl,aclrtGetCurrentContext,1.18,1,1.18,1.18,1.18,0
host,acl,aclrtGetDeviceCount,3.43,4,0.858,0.31,1.37,0.254
host,acl,aclrtGetResInCurrentThread,2.27,2,1.135,0.33,1.94,0.648
host,acl,aclrtGetStreamAttribute,292.14,700,0.417,0.32,5.82,0.044
host,acl,aclrtLaunchKernelWithHostArgs,2383.3,700,3.405,2.14,20.57,1.425
host,acl,aclrtMemcpy,74.93,1,74.93,74.93,74.93,0
host,acl,aclrtRecordEvent,132.41,10,13.241,5.62,75.16,426.265
host,acl,aclrtResetDevice,2.91,1,2.91,2.91,2.91,0
host,acl,aclrtSetDevice,37.43,1,37.43,37.43,37.43,0
host,acl,aclrtSetOpExecuteTimeOutV2,1191.77,1,1191.77,1191.77,1191.77,0
host,acl,aclrtSetStreamFailureMode,4.34,2,2.17,1.81,2.53,0.13
host,acl,aclrtSynchronizeDeviceWithTimeout,35.83,3,11.943,8.52,15.23,7.513
host,acl,aclrtSynchronizeEvent,170.95,15,11.397,0.47,38.12,235.061
host,acl,aclrtSynchronizeStream,4.53,1,4.53,4.53,4.53,0
host,node,launch,3100.35,700,4.429,2.79,209.44,61.19
