Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177921654328.635	,1784177921654328.655	
0,N/A,TASK_TIMEOUT_SET,49,4,100.982,1784177921661942.747	,1784177921662043.729	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,0,12.620,1784177921748891.005	,1784177921748903.625	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,1,2.560,1784177921749068.108	,1784177921749070.668	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,2,3.020,1784177921749132.589	,1784177921749135.609	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,3,2.780,1784177921749138.769	,1784177921749141.550	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,4,2.600,1784177921749145.230	,1784177921749147.830	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,5,2.540,1784177921749151.690	,1784177921749154.230	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,6,2.780,1784177921749157.930	,1784177921749160.710	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,7,2.780,1784177921749164.270	,1784177921749167.050	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,8,2.600,1784177921749170.630	,1784177921749173.230	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,9,2.780,1784177921749177.110	,1784177921749179.890	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,10,2.820,1784177921749183.470	,1784177921749186.290	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,11,2.780,1784177921749189.851	,1784177921749192.631	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,12,2.680,1784177921749196.191	,1784177921749198.871	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,13,2.600,1784177921749202.591	,1784177921749205.191	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,14,2.780,1784177921749208.891	,1784177921749211.671	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,15,2.820,1784177921749215.191	,1784177921749218.011	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,16,2.700,1784177921749226.251	,1784177921749228.951	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,17,2.720,1784177921749232.491	,1784177921749235.211	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,18,3.320,1784177921749238.671	,1784177921749241.992	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,19,2.780,1784177921749244.852	,1784177921749247.632	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,20,2.700,1784177921749251.152	,1784177921749253.852	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,21,3.100,1784177921749257.352	,1784177921749260.452	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,22,2.940,1784177921749263.592	,1784177921749266.532	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,23,2.920,1784177921749269.812	,1784177921749272.732	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,24,2.980,1784177921749275.932	,1784177921749278.912	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,25,2.780,1784177921749282.092	,1784177921749284.872	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,26,2.980,1784177921749288.252	,1784177921749291.233	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,27,2.980,1784177921749294.413	,1784177921749297.393	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,28,2.760,1784177921749307.833	,1784177921749310.593	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,29,2.780,1784177921749314.113	,1784177921749316.893	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,30,3.000,1784177921749320.173	,1784177921749323.173	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,31,3.020,1784177921749326.273	,1784177921749329.293	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,32,2.580,1784177921749332.633	,1784177921749335.213	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,33,2.580,1784177921749347.874	,1784177921749350.454	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,34,2.740,1784177921749354.234	,1784177921749356.974	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,35,2.740,1784177921749360.594	,1784177921749363.334	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,36,2.760,1784177921749367.014	,1784177921749369.774	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,37,2.660,1784177921749373.454	,1784177921749376.114	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,38,2.760,1784177921749387.174	,1784177921749389.935	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,39,2.740,1784177921749393.555	,1784177921749396.295	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,40,2.980,1784177921749399.875	,1784177921749402.855	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,41,2.600,1784177921749406.195	,1784177921749408.795	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,42,2.800,1784177921749412.515	,1784177921749415.315	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,43,2.780,1784177921749425.975	,1784177921749428.755	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,44,2.580,1784177921749432.595	,1784177921749435.175	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,45,2.620,1784177921749438.875	,1784177921749441.496	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,46,2.800,1784177921749445.176	,1784177921749447.976	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,47,2.640,1784177921749451.476	,1784177921749454.116	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,48,2.740,1784177921749464.876	,1784177921749467.616	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,49,2.740,1784177921749471.096	,1784177921749473.836	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,50,2.900,1784177921749477.316	,1784177921749480.216	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,51,2.920,1784177921749483.556	,1784177921749486.476	
