Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Relu_Tiling,22.94,1,22.94,22.94,22.94,0
host,acl,aclmdlRICaptureGetInfo,2.34,4,0.585,0.32,1.26,0.154
host,acl,aclnnRelu,4728.22,700,6.755,4.2,1019.52,1469.995
host,acl,aclnnReluGetWorkspaceSize,75811.08,1,75811.08,75811.08,75811.08,0
host,acl,aclrtBinaryLoadFromData,61,1,61,61,61,0
host,acl,aclrtCreateEventExWithFlag,120.24,10,12.024,1.97,88.74,659.511
host,acl,aclrtCreateStreamWithConfig,1975.91,2,987.955,763.44,1212.47,50406.985
host,acl,aclrtCtxGetSysParamOpt,13.19,8,1.649,0.51,5.51,3.599
host,acl,aclrtCtxSetSysParamOpt,6.29,1,6.29,6.29,6.29,0
host,acl,aclrtDestroyEvent,78.33,10,7.833,1.12,64.35,355.117
host,acl,aclrtDestroyStreamForce,3281.6,1,3281.6,3281.6,3281.6,0
host,acl,aclrtFree,12.85,2,6.425,1.81,11.04,21.298
host,acl,aclrtGetCurrentContext,1.1,1,1.1,1.1,1.1,0
host,acl,aclrtGetDeviceCount,4.89,4,1.223,0.33,3,1.138
host,acl,aclrtGetResInCurrentThread,2.18,2,1.09,0.33,1.85,0.578
host,acl,aclrtGetStreamAttribute,304.68,700,0.435,0.34,25.39,0.898
host,acl,aclrtLaunchKernelWithHostArgs,2070.22,700,2.957,2.12,22.77,2.012
host,acl,aclrtMemcpy,3304.6,1,3304.6,3304.6,3304.6,0
host,acl,aclrtRecordEvent,158.3,10,15.83,6.08,98.48,759.234
host,acl,aclrtResetDevice,3.22,1,3.22,3.22,3.22,0
host,acl,aclrtSetDevice,39.44,1,39.44,39.44,39.44,0
host,acl,aclrtSetOpExecuteTimeOutV2,1167.57,1,1167.57,1167.57,1167.57,0
host,acl,aclrtSetStreamFailureMode,4.59,2,2.295,2.07,2.52,0.051
host,acl,aclrtSynchronizeDeviceWithTimeout,38.91,3,12.97,8.5,17.6,13.814
host,acl,aclrtSynchronizeEvent,181.28,15,12.085,0.48,42.44,272.099
host,acl,aclrtSynchronizeStream,5.35,1,5.35,5.35,5.35,0
host,node,launch,2792.4,700,3.989,2.8,224.73,71.23
