Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Relu_Tiling,22.36,1,22.36,22.36,22.36,0
host,acl,aclmdlRICaptureGetInfo,2.37,4,0.592,0.32,1.31,0.172
host,acl,aclnnRelu,5115.06,700,7.307,4.32,1025.04,1484.052
host,acl,aclnnReluGetWorkspaceSize,79094.76,1,79094.76,79094.76,79094.76,0
host,acl,aclrtBinaryLoadFromData,67.99,1,67.99,67.99,67.99,0
host,acl,aclrtCreateEventExWithFlag,30.81,10,3.081,1.7,9.43,4.901
host,acl,aclrtCreateStreamWithConfig,4854.09,2,2427.045,788.57,4065.52,2684600.326
host,acl,aclrtCtxGetSysParamOpt,10.54,8,1.318,0.49,4.01,1.697
host,acl,aclrtCtxSetSysParamOpt,5.36,1,5.36,5.36,5.36,0
host,acl,aclrtDestroyEvent,14.54,10,1.454,1,2.92,0.289
host,acl,aclrtDestroyStreamForce,12720.46,1,12720.46,12720.46,12720.46,0
host,acl,aclrtFree,8.62,1,8.62,8.62,8.62,0
host,acl,aclrtGetCurrentContext,1.35,1,1.35,1.35,1.35,0
host,acl,aclrtGetDeviceCount,3.94,4,0.985,0.35,1.69,0.262
host,acl,aclrtGetResInCurrentThread,2.33,2,1.165,0.32,2.01,0.714
host,acl,aclrtGetStreamAttribute,282.81,700,0.404,0.33,2.46,0.007
host,acl,aclrtLaunchKernelWithHostArgs,2397.49,700,3.425,2.26,21.51,1.612
host,acl,aclrtMemcpy,111.16,1,111.16,111.16,111.16,0
host,acl,aclrtRecordEvent,137.84,10,13.784,5.66,79.24,476.581
host,acl,aclrtResetDevice,3.36,1,3.36,3.36,3.36,0
host,acl,aclrtSetDevice,47.87,1,47.87,47.87,47.87,0
host,acl,aclrtSetOpExecuteTimeOutV2,1188.97,1,1188.97,1188.97,1188.97,0
host,acl,aclrtSetStreamFailureMode,4.41,2,2.205,2.08,2.33,0.016
host,acl,aclrtSynchronizeDeviceWithTimeout,51.62,3,17.207,9.2,29.81,81.36
host,acl,aclrtSynchronizeEvent,175.28,15,11.685,0.44,38.99,256.517
host,acl,aclrtSynchronizeStream,4.67,1,4.67,4.67,4.67,0
host,node,launch,3146.44,700,4.495,2.89,226.55,72.661
