Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1784177933754040.137	,1784177933754040.157	
0,N/A,TASK_TIMEOUT_SET,49,4,99.241,1784177933762751.291	,1784177933762850.533	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,0,11.860,1784177933853415.422	,1784177933853427.282	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,1,3.280,1784177933853626.106	,1784177933853629.386	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,2,3.300,1784177933853705.488	,1784177933853708.788	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,3,3.080,1784177933853711.928	,1784177933853715.008	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,4,3.320,1784177933853718.408	,1784177933853721.728	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,5,3.280,1784177933853733.749	,1784177933853737.029	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,6,3.140,1784177933853740.429	,1784177933853743.569	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,7,3.080,1784177933853746.969	,1784177933853750.049	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,8,3.220,1784177933853753.489	,1784177933853756.709	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,9,3.460,1784177933853759.929	,1784177933853763.389	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,10,3.000,1784177933853766.469	,1784177933853769.469	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,11,3.020,1784177933853772.989	,1784177933853776.009	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,12,3.220,1784177933853786.510	,1784177933853789.730	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,13,3.220,1784177933853792.950	,1784177933853796.170	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,14,2.980,1784177933853799.350	,1784177933853802.330	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,15,3.000,1784177933853805.810	,1784177933853808.810	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,16,3.120,1784177933853812.250	,1784177933853815.370	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,17,3.140,1784177933853818.970	,1784177933853822.110	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,18,2.920,1784177933853831.551	,1784177933853834.471	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,19,3.140,1784177933853837.871	,1784177933853841.011	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,20,3.140,1784177933853851.091	,1784177933853854.231	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,21,3.120,1784177933853857.711	,1784177933853860.831	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,22,2.980,1784177933853864.051	,1784177933853867.031	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,23,2.960,1784177933853870.371	,1784177933853873.331	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,24,2.880,1784177933853883.092	,1784177933853885.972	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,25,3.080,1784177933853889.372	,1784177933853892.452	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,26,2.880,1784177933853895.672	,1784177933853898.552	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,27,2.880,1784177933853902.072	,1784177933853904.952	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,28,3.100,1784177933853915.732	,1784177933853918.832	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,29,3.060,1784177933853922.052	,1784177933853925.112	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,30,2.840,1784177933853928.332	,1784177933853931.172	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,31,2.860,1784177933853934.613	,1784177933853937.473	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,32,3.280,1784177933853941.233	,1784177933853944.513	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,33,3.300,1784177933853948.013	,1784177933853951.313	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,34,3.120,1784177933853960.753	,1784177933853963.873	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,35,3.100,1784177933853967.313	,1784177933853970.413	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,36,3.120,1784177933853973.893	,1784177933853977.013	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,37,3.280,1784177933853980.533	,1784177933853983.814	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,38,3.100,1784177933853993.974	,1784177933853997.074	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,39,3.140,1784177933854000.514	,1784177933854003.654	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,40,3.200,1784177933854007.054	,1784177933854010.254	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,41,3.320,1784177933854013.554	,1784177933854016.874	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,42,3.020,1784177933854020.174	,1784177933854023.194	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,43,2.960,1784177933854026.794	,1784177933854029.754	
0,Relu_d2db1a80c523e7e59a032c95969880af_high_performance_210000000,KERNEL_AIVEC,46,44,3.180,1784177933854033.315	,1784177933854036.495	
