operator,archive_file,version,size,status,contains_pycache,contains_build_cache,contains_raw_profiler,sha256_present,matches_current_source
relu,MISSING,N/A,N/A,MISSING,N/A,N/A,N/A,N/A,N/A
mul,MISSING,N/A,N/A,MISSING,N/A,N/A,N/A,N/A,N/A
add,MISSING,N/A,N/A,MISSING,N/A,N/A,N/A,N/A,N/A
div,cannbot_ascendc_vs_pypto_div_v2.tar.gz,v2,388KB,HISTORICAL,no,no,no,yes,PARTIAL (not v4)
equal,cannbot_ascendc_vs_pypto_equal_v4.tar.gz,v4,20KB,CURRENT,no,no,no,yes,yes
equal,cannbot_ascendc_vs_pypto_equal_v2.tar.gz,v2,24KB,OUTDATED,yes,no,no,no,no (superseded)
not,cannbot_ascendc_vs_pypto_not_v4.tar.gz,v4,16KB,CURRENT,no,no,no,yes,yes
not,cannbot_ascendc_vs_pypto_not_v2.tar.gz,v2,16KB,OUTDATED,yes,no,no,no,no (superseded)
or,cannbot_ascendc_vs_pypto_or_v4.tar.gz,v4,20KB,CURRENT,no,no,no,yes,yes
or,cannbot_ascendc_vs_pypto_or_v2.tar.gz,v2,20KB,OUTDATED,yes,no,no,no,no (superseded)
where,cannbot_ascendc_vs_pypto_where_v4.tar.gz,v4,20KB,CURRENT,no,no,no,yes,yes
where,cannbot_ascendc_vs_pypto_where_v2.tar.gz,v2,16KB,OUTDATED,yes,no,no,no,no (superseded)
