operator,backend,batch,status,bitwise_equal,max_abs_diff,nan_count,inf_count
relu,torch,all,PASS (existing report),true,0,0,0
relu,pypto,1,PASS,True,0.0,0,0
relu,pypto,2,PASS,True,0.0,0,0
relu,pypto,4,PASS,True,0.0,0,0
relu,pypto,8,PASS,True,0.0,0,0
relu,pypto,16,PASS,True,0.0,0,0
relu,pypto,32,PASS,True,0.0,0,0
relu,pypto,64,PASS,True,0.0,0,0
mul,torch,1,PASS,True,nan,0,47
mul,torch,2,PASS,True,nan,0,46
mul,torch,4,PASS,True,nan,0,46
mul,torch,8,PASS,True,nan,0,44
mul,torch,16,PASS,True,nan,0,47
mul,torch,32,PASS,True,nan,0,47
mul,torch,64,PASS,True,nan,0,45
mul,pypto,1,PASS,True,0.0,0,0
mul,pypto,2,PASS,True,0.0,0,0
mul,pypto,4,PASS,True,0.0,0,0
mul,pypto,8,PASS,True,0.0,0,0
mul,pypto,16,PASS,True,0.0,0,0
mul,pypto,32,PASS,True,0.0,0,0
mul,pypto,64,PASS,True,0.0,0,0
add,torch,1,PASS,True,nan,0,75
add,torch,2,PASS,True,nan,0,66
add,torch,4,PASS,True,nan,0,61
add,torch,8,PASS,True,nan,0,80
add,torch,16,PASS,True,nan,0,73
add,torch,32,PASS,True,nan,0,58
add,torch,64,PASS,True,nan,0,72
add,pypto,1,PASS,True,0.0,0,75
add,pypto,2,PASS,True,0.0,0,66
add,pypto,4,PASS,True,0.0,0,61
add,pypto,8,PASS,True,0.0,0,80
add,pypto,16,PASS,True,0.0,0,73
add,pypto,32,PASS,True,0.0,0,58
add,pypto,64,PASS,True,0.0,0,72
div,torch,1,PASS,True,0.0,0,0
div,torch,2,PASS,True,nan,0,2
div,torch,4,SKIP,?,?,?,?
div,torch,8,SKIP,?,?,?,?
div,torch,16,SKIP,?,?,?,?
div,torch,32,SKIP,?,?,?,?
div,pypto,all,PASS (existing report),true,0,0,0
