operator,batch,impl,kernel_type,kernels_per_call,kernel_names,primary_kernel_us,all_device_kernels_us,aicpu_us
relu,1,torch,KERNEL_AIVEC,7.0,aclnnRelu_Relu_Relu,10.08,18.352,N/A
relu,1,ascendc,KERNEL_AIVEC,7.0,relu_kernel,9.5,14.063,N/A
relu,1,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_relu_kernel_2d,3027.82,190.668,139.54
relu,2,torch,KERNEL_AIVEC,7.0,aclnnRelu_Relu_Relu,9.54,18.708,N/A
relu,2,ascendc,KERNEL_AIVEC,7.0,relu_kernel,11.68,15.936,N/A
relu,2,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_relu_kernel_2d,3222.344,196.748,145.074
relu,4,torch,KERNEL_AIVEC,7.0,aclnnRelu_Relu_Relu,12.62,19.613,N/A
relu,4,ascendc,KERNEL_AIVEC,7.0,relu_kernel,14.18,17.729,N/A
relu,4,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_relu_kernel_2d,3545.511,202.022,148.728
relu,8,torch,KERNEL_AIVEC,7.0,aclnnRelu_Relu_Relu,11.86,21.731,N/A
relu,8,ascendc,KERNEL_AIVEC,7.0,relu_kernel,10.54,21.031,N/A
relu,8,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_relu_kernel_2d,3125.322,209.207,150.818
relu,16,torch,KERNEL_AIVEC,7.0,aclnnRelu_Relu_Relu,11.1,25.199,N/A
relu,16,ascendc,KERNEL_AIVEC,7.0,relu_kernel,10.82,28.006,N/A
relu,16,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_relu_kernel_2d,2974.799,252.412,174.267
relu,32,torch,KERNEL_AIVEC,7.0,aclnnRelu_Relu_Relu,13.24,32.318,N/A
relu,32,ascendc,KERNEL_AIVEC,7.0,relu_kernel,14.28,41.39,N/A
relu,32,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_relu_kernel_2d,3698.694,312.672,213.789
relu,64,torch,KERNEL_AIVEC,7.0,aclnnRelu_Relu_Relu,19.92,45.875,N/A
relu,64,ascendc,KERNEL_AIVEC,7.0,relu_kernel,20.96,66.642,N/A
relu,64,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_relu_kernel_2d,2978.079,423.061,267.793
mul,1,torch,KERNEL_AIVEC,7.0,aclnnMul_MulAiCore_Mul,9.0,19.378,N/A
mul,1,ascendc,KERNEL_AIVEC,7.0,mul_kernel,11.16,15.699,N/A
mul,1,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_mul_kernel_2d,3083.122,208.226,150.523
mul,2,torch,KERNEL_AIVEC,7.0,aclnnMul_MulAiCore_Mul,11.22,19.762,N/A
mul,2,ascendc,KERNEL_AIVEC,7.0,mul_kernel,13.36,17.663,N/A
mul,2,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_mul_kernel_2d,2915.338,203.338,146.266
mul,4,torch,KERNEL_AIVEC,7.0,aclnnMul_MulAiCore_Mul,10.46,21.124,N/A
mul,4,ascendc,KERNEL_AIVEC,7.0,mul_kernel,15.52,20.174,N/A
mul,4,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_mul_kernel_2d,3041.061,207.36,147.766
mul,8,torch,KERNEL_AIVEC,7.0,aclnnMul_MulAiCore_Mul,13.76,24.217,N/A
mul,8,ascendc,KERNEL_AIVEC,7.0,mul_kernel,10.88,24.33,N/A
mul,8,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_mul_kernel_2d,3134.243,223.959,157.208
mul,16,torch,KERNEL_AIVEC,7.0,aclnnMul_MulAiCore_Mul,12.86,30.193,N/A
mul,16,ascendc,KERNEL_AIVEC,7.0,mul_kernel,14.1,33.436,N/A
mul,16,pypto,KERNEL_AICPU|KERNEL_MIX_AIC,3.01,KERNEL_AICPU|PYPTO_mul_kernel_2d,3059.381,285.204,192.018
mul,32,torch,KERNEL_AIVEC,7.0,aclnnMul_MulAiCore_Mul,18.52,40.922,N/A
