operator,batch,impl,primary_kernel_us,all_dev_kernels_us,kpc,kernel_type,kernel_names
relu,1,torch,10.08,18.352,7.0,KERNEL_AIVEC,aclnnRelu_Relu_Relu
relu,1,ascendc,9.5,14.063,7.0,KERNEL_AIVEC,relu_kernel
relu,1,pypto,3027.82,190.668,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_relu_kernel_2d
relu,2,torch,9.54,18.708,7.0,KERNEL_AIVEC,aclnnRelu_Relu_Relu
relu,2,ascendc,11.68,15.936,7.0,KERNEL_AIVEC,relu_kernel
relu,2,pypto,3222.344,196.748,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_relu_kernel_2d
relu,4,torch,12.62,19.613,7.0,KERNEL_AIVEC,aclnnRelu_Relu_Relu
relu,4,ascendc,14.18,17.729,7.0,KERNEL_AIVEC,relu_kernel
relu,4,pypto,3545.511,202.022,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_relu_kernel_2d
relu,8,torch,11.86,21.731,7.0,KERNEL_AIVEC,aclnnRelu_Relu_Relu
relu,8,ascendc,10.54,21.031,7.0,KERNEL_AIVEC,relu_kernel
relu,8,pypto,3125.322,209.207,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_relu_kernel_2d
relu,16,torch,11.1,25.199,7.0,KERNEL_AIVEC,aclnnRelu_Relu_Relu
relu,16,ascendc,10.82,28.006,7.0,KERNEL_AIVEC,relu_kernel
relu,16,pypto,2974.799,252.412,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_relu_kernel_2d
relu,32,torch,13.24,32.318,7.0,KERNEL_AIVEC,aclnnRelu_Relu_Relu
relu,32,ascendc,14.28,41.39,7.0,KERNEL_AIVEC,relu_kernel
relu,32,pypto,3698.694,312.672,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_relu_kernel_2d
relu,64,torch,19.92,45.875,7.0,KERNEL_AIVEC,aclnnRelu_Relu_Relu
relu,64,ascendc,20.96,66.642,7.0,KERNEL_AIVEC,relu_kernel
relu,64,pypto,2978.079,423.061,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_relu_kernel_2d
mul,1,torch,9.0,19.378,7.0,KERNEL_AIVEC,aclnnMul_MulAiCore_Mul
mul,1,ascendc,11.16,15.699,7.0,KERNEL_AIVEC,mul_kernel
mul,1,pypto,3083.122,208.226,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_mul_kernel_2d
mul,2,torch,11.22,19.762,7.0,KERNEL_AIVEC,aclnnMul_MulAiCore_Mul
mul,2,ascendc,13.36,17.663,7.0,KERNEL_AIVEC,mul_kernel
mul,2,pypto,2915.338,203.338,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_mul_kernel_2d
mul,4,torch,10.46,21.124,7.0,KERNEL_AIVEC,aclnnMul_MulAiCore_Mul
mul,4,ascendc,15.52,20.174,7.0,KERNEL_AIVEC,mul_kernel
mul,4,pypto,3041.061,207.36,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_mul_kernel_2d
mul,8,torch,13.76,24.217,7.0,KERNEL_AIVEC,aclnnMul_MulAiCore_Mul
mul,8,ascendc,10.88,24.33,7.0,KERNEL_AIVEC,mul_kernel
mul,8,pypto,3134.243,223.959,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_mul_kernel_2d
mul,16,torch,12.86,30.193,7.0,KERNEL_AIVEC,aclnnMul_MulAiCore_Mul
mul,16,ascendc,14.1,33.436,7.0,KERNEL_AIVEC,mul_kernel
mul,16,pypto,3059.381,285.204,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_mul_kernel_2d
mul,32,torch,18.52,40.922,7.0,KERNEL_AIVEC,aclnnMul_MulAiCore_Mul
mul,32,ascendc,20.84,52.158,7.0,KERNEL_AIVEC,mul_kernel
mul,32,pypto,3094.342,369.522,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_mul_kernel_2d
mul,64,torch,27.961,62.617,7.0,KERNEL_AIVEC,aclnnMul_MulAiCore_Mul
mul,64,ascendc,32.941,88.215,7.0,KERNEL_AIVEC,mul_kernel
mul,64,pypto,3064.121,526.709,3.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_mul_kernel_2d
add,1,torch,10.04,57.793,21.0,KERNEL_AIVEC,aclnnAdd_AddAiCore_Add
add,1,ascendc,13.78,18.944,7.0,KERNEL_AIVEC,add_kernel
add,1,pypto,3161.403,462.9,9.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_add_binary_kernel
add,2,torch,11.08,58.601,21.0,KERNEL_AIVEC,aclnnAdd_AddAiCore_Add
add,2,ascendc,19.26,22.919,7.0,KERNEL_AIVEC,add_kernel
add,2,pypto,3011.8,471.404,9.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_add_binary_kernel
add,4,torch,10.86,62.929,21.0,KERNEL_AIVEC,aclnnAdd_AddAiCore_Add
add,4,ascendc,17.68,26.264,7.0,KERNEL_AIVEC,add_kernel
add,4,pypto,3104.902,485.146,9.01,KERNEL_AICPU,KERNEL_AICPU|PYPTO_add_binary_kernel
add,8,torch,10.42,72.519,21.0,KERNEL_AIVEC,aclnnAdd_AddAiCore_Add
add,8,ascendc,14.94,33.378,7.0,KERNEL_AIVEC,add_kernel
