Operator,Torch_B1_us,Torch_B32_us,AscendC_B1_us,AscendC_B32_us,PyPTO_B1_us,PyPTO_B32_us,Profiler_Method,Metric
relu,10.08,13.24,9.5,14.28,106.62,162.52,msprof,primary_compute_kernel_us
mul,9.0,18.52,11.16,20.84,221.72,281.15,msprof,primary_compute_kernel_us
add,10.04,20.56,13.78,33.38,132.12,157.36,msprof,primary_compute_kernel_us
div,21.8,126.2,18.64,306.53,N/A,N/A,msprof,primary_compute_kernel_us
expand,13.02,14.42,15.04,91.8,110.3,2918.7,msprof(r3),primary_compute_kernel_us
transpose,14.1,26.2,106.2,3014.6,N/A,N/A,msprof,primary_compute_kernel_us
reduce_sum,15.96,N/A,19.28,154.86,N/A,N/A,msprof,primary_compute_kernel_us
matmul,12.22,63.3,10.36,10.48,N/A,N/A,msprof,primary_compute_kernel_us
equal,12.2,N/A,41.8,N/A,N/A,N/A,torch.npu.Event,host_sync
not,127.5,N/A,6.4,N/A,136.6,N/A,torch.npu.Event,host_sync
or,256.3,N/A,6.5,N/A,148.8,N/A,torch.npu.Event,host_sync
where,131.9,N/A,238.6,N/A,N/A,N/A,torch.npu.Event,host_sync
